Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
153,0,下水,名詞,一般,*,*,下水,38
154,0,汚物,名詞,一般,*,*,汚物,38
0,0,帯水層,名詞,固有名詞,一般,*,帯水層,41
1,0,淡水,名詞,一般,*,*,淡水,38
2,0,化,名詞,接尾,サ変接続,*,化,50
3,0,渇水,名詞,サ変接続,*,*,渇水,36
4,0,蒸発,名詞,サ変接続,*,*,蒸発,36
6,0,沈殿,名詞,サ変接続,*,*,沈殿,36
7,0,水,名詞,接尾,一般,*,水,51
9,0,循環,名詞,サ変接続,*,*,循環,36
10,0,水不足,名詞,一般,*,*,水不足,38
11,0,水処理,名詞,固有名詞,一般,*,水処理,41
12,0,水質,名詞,一般,*,*,水質,38
13,0,浄化,名詞,サ変接続,*,*,浄化,36
14,0,大気汚染,名詞,固有名詞,一般,*,大気汚染,41
17,0,森林伐採,名詞,固有名詞,一般,*,森林伐採,41
18,0,家庭,名詞,一般,*,*,家庭,38
19,0,排水,名詞,サ変接続,*,*,排水,36
20,0,富栄養化,名詞,固有名詞,一般,*,富栄養化,41
21,0,地球温暖化,名詞,固有名詞,一般,*,地球温暖化,41
22,0,温室効果,名詞,固有名詞,一般,*,温室効果,41
23,0,産業廃棄物,名詞,固有名詞,一般,*,産業廃棄物,41
24,0,ごみ,名詞,一般,*,*,ごみ,38
25,0,処理,名詞,サ変接続,*,*,処理,36
26,0,地海,名詞,固有名詞,人名,姓,地海,43
28,0,ダンピング,名詞,サ変接続,*,*,ダンピング,36
29,0,下水,名詞,一般,*,*,下水,38
30,0,汚物,名詞,一般,*,*,汚物,38
31,0,帯水層,名詞,固有名詞,一般,*,帯水層,41
32,0,淡水,名詞,一般,*,*,淡水,38
33,0,化,名詞,接尾,サ変接続,*,化,50
34,0,渇水,名詞,サ変接続,*,*,渇水,36
35,0,蒸発,名詞,サ変接続,*,*,蒸発,36
37,0,沈殿,名詞,サ変接続,*,*,沈殿,36
38,0,水,名詞,接尾,一般,*,水,51
40,0,循環,名詞,サ変接続,*,*,循環,36
41,0,水不足,名詞,一般,*,*,水不足,38
42,0,水処理,名詞,固有名詞,一般,*,水処理,41
43,0,水質,名詞,一般,*,*,水質,38
44,0,浄化,名詞,サ変接続,*,*,浄化,36
45,0,大気汚染,名詞,固有名詞,一般,*,大気汚染,41
48,0,森林伐採,名詞,固有名詞,一般,*,森林伐採,41
49,0,家庭,名詞,一般,*,*,家庭,38
50,0,排水,名詞,サ変接続,*,*,排水,36
51,0,富栄養化,名詞,固有名詞,一般,*,富栄養化,41
52,0,地球温暖化,名詞,固有名詞,一般,*,地球温暖化,41
53,0,温室効果,名詞,固有名詞,一般,*,温室効果,41
54,0,産業廃棄物,名詞,固有名詞,一般,*,産業廃棄物,41
55,0,ごみ,名詞,一般,*,*,ごみ,38
56,0,処理,名詞,サ変接続,*,*,処理,36
57,0,地海,名詞,固有名詞,人名,姓,地海,43
59,0,ダンピング,名詞,サ変接続,*,*,ダンピング,36
60,0,下水,名詞,一般,*,*,下水,38
61,0,汚物,名詞,一般,*,*,汚物,38
62,0,帯水層,名詞,固有名詞,一般,*,帯水層,41
63,0,淡水,名詞,一般,*,*,淡水,38
64,0,化,名詞,接尾,サ変接続,*,化,50
65,0,渇水,名詞,サ変接続,*,*,渇水,36
66,0,蒸発,名詞,サ変接続,*,*,蒸発,36
68,0,沈殿,名詞,サ変接続,*,*,沈殿,36
69,0,水,名詞,接尾,一般,*,水,51
71,0,循環,名詞,サ変接続,*,*,循環,36
72,0,水不足,名詞,一般,*,*,水不足,38
73,0,水処理,名詞,固有名詞,一般,*,水処理,41
74,0,水質,名詞,一般,*,*,水質,38
75,0,浄化,名詞,サ変接続,*,*,浄化,36
76,0,大気汚染,名詞,固有名詞,一般,*,大気汚染,41
79,0,森林伐採,名詞,固有名詞,一般,*,森林伐採,41
80,0,家庭,名詞,一般,*,*,家庭,38
81,0,排水,名詞,サ変接続,*,*,排水,36
82,0,富栄養化,名詞,固有名詞,一般,*,富栄養化,41
83,0,地球温暖化,名詞,固有名詞,一般,*,地球温暖化,41
84,0,温室効果,名詞,固有名詞,一般,*,温室効果,41
85,0,産業廃棄物,名詞,固有名詞,一般,*,産業廃棄物,41
86,0,ごみ,名詞,一般,*,*,ごみ,38
87,0,処理,名詞,サ変接続,*,*,処理,36
88,0,地海,名詞,固有名詞,人名,姓,地海,43
90,0,ダンピング,名詞,サ変接続,*,*,ダンピング,36
91,0,下水,名詞,一般,*,*,下水,38
92,0,汚物,名詞,一般,*,*,汚物,38
93,0,帯水層,名詞,固有名詞,一般,*,帯水層,41
94,0,淡水,名詞,一般,*,*,淡水,38
95,0,化,名詞,接尾,サ変接続,*,化,50
96,0,渇水,名詞,サ変接続,*,*,渇水,36
97,0,蒸発,名詞,サ変接続,*,*,蒸発,36
99,0,沈殿,名詞,サ変接続,*,*,沈殿,36
100,0,水,名詞,接尾,一般,*,水,51
102,0,循環,名詞,サ変接続,*,*,循環,36
103,0,水不足,名詞,一般,*,*,水不足,38
104,0,水処理,名詞,固有名詞,一般,*,水処理,41
105,0,水質,名詞,一般,*,*,水質,38
106,0,浄化,名詞,サ変接続,*,*,浄化,36
107,0,大気汚染,名詞,固有名詞,一般,*,大気汚染,41
110,0,森林伐採,名詞,固有名詞,一般,*,森林伐採,41
111,0,家庭,名詞,一般,*,*,家庭,38
112,0,排水,名詞,サ変接続,*,*,排水,36
113,0,富栄養化,名詞,固有名詞,一般,*,富栄養化,41
114,0,地球温暖化,名詞,固有名詞,一般,*,地球温暖化,41
115,0,温室効果,名詞,固有名詞,一般,*,温室効果,41
116,0,産業廃棄物,名詞,固有名詞,一般,*,産業廃棄物,41
117,0,ごみ,名詞,一般,*,*,ごみ,38
118,0,処理,名詞,サ変接続,*,*,処理,36
119,0,地海,名詞,固有名詞,人名,姓,地海,43
121,0,ダンピング,名詞,サ変接続,*,*,ダンピング,36
122,0,下水,名詞,一般,*,*,下水,38
123,0,汚物,名詞,一般,*,*,汚物,38
124,0,帯水層,名詞,固有名詞,一般,*,帯水層,41
125,0,淡水,名詞,一般,*,*,淡水,38
126,0,化,名詞,接尾,サ変接続,*,化,50
127,0,渇水,名詞,サ変接続,*,*,渇水,36
128,0,蒸発,名詞,サ変接続,*,*,蒸発,36
130,0,沈殿,名詞,サ変接続,*,*,沈殿,36
131,0,水,名詞,接尾,一般,*,水,51
133,0,循環,名詞,サ変接続,*,*,循環,36
134,0,水不足,名詞,一般,*,*,水不足,38
135,0,水処理,名詞,固有名詞,一般,*,水処理,41
136,0,水質,名詞,一般,*,*,水質,38
137,0,浄化,名詞,サ変接続,*,*,浄化,36
138,0,大気汚染,名詞,固有名詞,一般,*,大気汚染,41
141,0,森林伐採,名詞,固有名詞,一般,*,森林伐採,41
142,0,家庭,名詞,一般,*,*,家庭,38
143,0,排水,名詞,サ変接続,*,*,排水,36
144,0,富栄養化,名詞,固有名詞,一般,*,富栄養化,41
145,0,地球温暖化,名詞,固有名詞,一般,*,地球温暖化,41
146,0,温室効果,名詞,固有名詞,一般,*,温室効果,41
147,0,産業廃棄物,名詞,固有名詞,一般,*,産業廃棄物,41
148,0,ごみ,名詞,一般,*,*,ごみ,38
149,0,処理,名詞,サ変接続,*,*,処理,36
150,0,地海,名詞,固有名詞,人名,姓,地海,43
152,0,ダンピング,名詞,サ変接続,*,*,ダンピング,36
153,0,下水,名詞,一般,*,*,下水,38
154,0,汚物,名詞,一般,*,*,汚物,38
0,0,帯水層,名詞,固有名詞,一般,*,帯水層,41
1,0,淡水,名詞,一般,*,*,淡水,38
2,0,化,名詞,接尾,サ変接続,*,化,50
3,0,渇水,名詞,サ変接続,*,*,渇水,36
4,0,蒸発,名詞,サ変接続,*,*,蒸発,36
6,0,沈殿,名詞,サ変接続,*,*,沈殿,36
7,0,水,名詞,接尾,一般,*,水,51
9,0,循環,名詞,サ変接続,*,*,循環,36
10,0,水不足,名詞,一般,*,*,水不足,38
11,0,水処理,名詞,固有名詞,一般,*,水処理,41
12,0,水質,名詞,一般,*,*,水質,38
13,0,浄化,名詞,サ変接続,*,*,浄化,36
14,0,大気汚染,名詞,固有名詞,一般,*,大気汚染,41
17,0,森林伐採,名詞,固有名詞,一般,*,森林伐採,41
18,0,家庭,名詞,一般,*,*,家庭,38
19,0,排水,名詞,サ変接続,*,*,排水,36
20,0,富栄養化,名詞,固有名詞,一般,*,富栄養化,41
21,0,地球温暖化,名詞,固有名詞,一般,*,地球温暖化,41
22,0,温室効果,名詞,固有名詞,一般,*,温室効果,41
23,0,産業廃棄物,名詞,固有名詞,一般,*,産業廃棄物,41
24,0,ごみ,名詞,一般,*,*,ごみ,38
25,0,処理,名詞,サ変接続,*,*,処理,36
26,0,地海,名詞,固有名詞,人名,姓,地海,43
28,0,ダンピング,名詞,サ変接続,*,*,ダンピング,36
29,0,下水,名詞,一般,*,*,下水,38
30,0,汚物,名詞,一般,*,*,汚物,38
31,0,帯水層,名詞,固有名詞,一般,*,帯水層,41
32,0,淡水,名詞,一般,*,*,淡水,38
33,0,化,名詞,接尾,サ変接続,*,化,50
34,0,渇水,名詞,サ変接続,*,*,渇水,36
35,0,蒸発,名詞,サ変接続,*,*,蒸発,36
37,0,沈殿,名詞,サ変接続,*,*,沈殿,36
38,0,水,名詞,接尾,一般,*,水,51
40,0,循環,名詞,サ変接続,*,*,循環,36
41,0,水不足,名詞,一般,*,*,水不足,38
42,0,水処理,名詞,固有名詞,一般,*,水処理,41
43,0,水質,名詞,一般,*,*,水質,38
44,0,浄化,名詞,サ変接続,*,*,浄化,36
45,0,大気汚染,名詞,固有名詞,一般,*,大気汚染,41
48,0,森林伐採,名詞,固有名詞,一般,*,森林伐採,41
49,0,家庭,名詞,一般,*,*,家庭,38
50,0,排水,名詞,サ変接続,*,*,排水,36
51,0,富栄養化,名詞,固有名詞,一般,*,富栄養化,41
52,0,地球温暖化,名詞,固有名詞,一般,*,地球温暖化,41
53,0,温室効果,名詞,固有名詞,一般,*,温室効果,41
54,0,産業廃棄物,名詞,固有名詞,一般,*,産業廃棄物,41
55,0,ごみ,名詞,一般,*,*,ごみ,38
56,0,処理,名詞,サ変接続,*,*,処理,36
57,0,地海,名詞,固有名詞,人名,姓,地海,43
59,0,ダンピング,名詞,サ変接続,*,*,ダンピング,36
60,0,下水,名詞,一般,*,*,下水,38
61,0,汚物,名詞,一般,*,*,汚物,38
62,0,帯水層,名詞,固有名詞,一般,*,帯水層,41
63,0,淡水,名詞,一般,*,*,淡水,38
64,0,化,名詞,接尾,サ変接続,*,化,50
65,0,渇水,名詞,サ変接続,*,*,渇水,36
66,0,蒸発,名詞,サ変接続,*,*,蒸発,36
68,0,沈殿,名詞,サ変接続,*,*,沈殿,36
69,0,水,名詞,接尾,一般,*,水,51
71,0,循環,名詞,サ変接続,*,*,循環,36
72,0,水不足,名詞,一般,*,*,水不足,38
73,0,水処理,名詞,固有名詞,一般,*,水処理,41
74,0,水質,名詞,一般,*,*,水質,38
75,0,浄化,名詞,サ変接続,*,*,浄化,36
76,0,大気汚染,名詞,固有名詞,一般,*,大気汚染,41
79,0,森林伐採,名詞,固有名詞,一般,*,森林伐採,41
80,0,家庭,名詞,一般,*,*,家庭,38
81,0,排水,名詞,サ変接続,*,*,排水,36
82,0,富栄養化,名詞,固有名詞,一般,*,富栄養化,41
83,0,地球温暖化,名詞,固有名詞,一般,*,地球温暖化,41
84,0,温室効果,名詞,固有名詞,一般,*,温室効果,41
85,0,産業廃棄物,名詞,固有名詞,一般,*,産業廃棄物,41
86,0,ごみ,名詞,一般,*,*,ごみ,38
87,0,処理,名詞,サ変接続,*,*,処理,36
88,0,地海,名詞,固有名詞,人名,姓,地海,43
90,0,ダンピング,名詞,サ変接続,*,*,ダンピング,36
91,0,下水,名詞,一般,*,*,下水,38
92,0,汚物,名詞,一般,*,*,汚物,38
93,0,帯水層,名詞,固有名詞,一般,*,帯水層,41
94,0,淡水,名詞,一般,*,*,淡水,38
95,0,化,名詞,接尾,サ変接続,*,化,50
96,0,渇水,名詞,サ変接続,*,*,渇水,36
97,0,蒸発,名詞,サ変接続,*,*,蒸発,36
99,0,沈殿,名詞,サ変接続,*,*,沈殿,36
100,0,水,名詞,接尾,一般,*,水,51
102,0,循環,名詞,サ変接続,*,*,循環,36
103,0,水不足,名詞,一般,*,*,水不足,38
104,0,水処理,名詞,固有名詞,一般,*,水処理,41
105,0,水質,名詞,一般,*,*,水質,38
106,0,浄化,名詞,サ変接続,*,*,浄化,36
107,0,大気汚染,名詞,固有名詞,一般,*,大気汚染,41
110,0,森林伐採,名詞,固有名詞,一般,*,森林伐採,41
111,0,家庭,名詞,一般,*,*,家庭,38
112,0,排水,名詞,サ変接続,*,*,排水,36
113,0,富栄養化,名詞,固有名詞,一般,*,富栄養化,41
114,0,地球温暖化,名詞,固有名詞,一般,*,地球温暖化,41
115,0,温室効果,名詞,固有名詞,一般,*,温室効果,41
116,0,産業廃棄物,名詞,固有名詞,一般,*,産業廃棄物,41
117,0,ごみ,名詞,一般,*,*,ごみ,38
118,0,処理,名詞,サ変接続,*,*,処理,36
119,0,地海,名詞,固有名詞,人名,姓,地海,43
121,0,ダンピング,名詞,サ変接続,*,*,ダンピング,36
122,0,下水,名詞,一般,*,*,下水,38
123,0,汚物,名詞,一般,*,*,汚物,38
124,0,帯水層,名詞,固有名詞,一般,*,帯水層,41
125,0,淡水,名詞,一般,*,*,淡水,38
126,0,化,名詞,接尾,サ変接続,*,化,50
127,0,渇水,名詞,サ変接続,*,*,渇水,36
128,0,蒸発,名詞,サ変接続,*,*,蒸発,36
130,0,沈殿,名詞,サ変接続,*,*,沈殿,36
131,0,水,名詞,接尾,一般,*,水,51
133,0,循環,名詞,サ変接続,*,*,循環,36
134,0,水不足,名詞,一般,*,*,水不足,38
135,0,水処理,名詞,固有名詞,一般,*,水処理,41
136,0,水質,名詞,一般,*,*,水質,38
137,0,浄化,名詞,サ変接続,*,*,浄化,36
138,0,大気汚染,名詞,固有名詞,一般,*,大気汚染,41
141,0,森林伐採,名詞,固有名詞,一般,*,森林伐採,41
142,0,家庭,名詞,一般,*,*,家庭,38
143,0,排水,名詞,サ変接続,*,*,排水,36
144,0,富栄養化,名詞,固有名詞,一般,*,富栄養化,41
145,0,地球温暖化,名詞,固有名詞,一般,*,地球温暖化,41
146,0,温室効果,名詞,固有名詞,一般,*,温室効果,41
147,0,産業廃棄物,名詞,固有名詞,一般,*,産業廃棄物,41
148,0,ごみ,名詞,一般,*,*,ごみ,38
149,0,処理,名詞,サ変接続,*,*,処理,36
150,0,地海,名詞,固有名詞,人名,姓,地海,43
152,0,ダンピング,名詞,サ変接続,*,*,ダンピング,36
153,0,下水,名詞,一般,*,*,下水,38
154,0,汚物,名詞,一般,*,*,汚物,38
0,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
1,0,英語,名詞,一般,*,*,英語,38
4,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
5,0,英語,名詞,一般,*,*,英語,38
8,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
9,0,英語,名詞,一般,*,*,英語,38
12,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
13,0,英語,名詞,一般,*,*,英語,38
16,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
17,0,英語,名詞,一般,*,*,英語,38
20,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
21,0,英語,名詞,一般,*,*,英語,38
24,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
25,0,英語,名詞,一般,*,*,英語,38
28,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
29,0,英語,名詞,一般,*,*,英語,38
32,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
33,0,英語,名詞,一般,*,*,英語,38
36,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
37,0,英語,名詞,一般,*,*,英語,38
40,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
41,0,英語,名詞,一般,*,*,英語,38
44,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
45,0,英語,名詞,一般,*,*,英語,38
0,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
1,0,英語,名詞,一般,*,*,英語,38
4,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
5,0,英語,名詞,一般,*,*,英語,38
8,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
9,0,英語,名詞,一般,*,*,英語,38
12,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
13,0,英語,名詞,一般,*,*,英語,38
16,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
17,0,英語,名詞,一般,*,*,英語,38
20,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
21,0,英語,名詞,一般,*,*,英語,38
24,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
25,0,英語,名詞,一般,*,*,英語,38
28,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
29,0,英語,名詞,一般,*,*,英語,38
32,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
33,0,英語,名詞,一般,*,*,英語,38
36,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
37,0,英語,名詞,一般,*,*,英語,38
40,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
41,0,英語,名詞,一般,*,*,英語,38
44,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
45,0,英語,名詞,一般,*,*,英語,38
0,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
1,0,英語,名詞,一般,*,*,英語,38
4,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
5,0,英語,名詞,一般,*,*,英語,38
8,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
9,0,英語,名詞,一般,*,*,英語,38
12,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
13,0,英語,名詞,一般,*,*,英語,38
16,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
17,0,英語,名詞,一般,*,*,英語,38
20,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
21,0,英語,名詞,一般,*,*,英語,38
24,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
25,0,英語,名詞,一般,*,*,英語,38
28,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
29,0,英語,名詞,一般,*,*,英語,38
32,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
33,0,英語,名詞,一般,*,*,英語,38
36,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
37,0,英語,名詞,一般,*,*,英語,38
40,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
41,0,英語,名詞,一般,*,*,英語,38
44,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
45,0,英語,名詞,一般,*,*,英語,38
0,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
1,0,英語,名詞,一般,*,*,英語,38
4,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
5,0,英語,名詞,一般,*,*,英語,38
8,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
9,0,英語,名詞,一般,*,*,英語,38
12,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
13,0,英語,名詞,一般,*,*,英語,38
16,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
17,0,英語,名詞,一般,*,*,英語,38
20,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
21,0,英語,名詞,一般,*,*,英語,38
24,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
25,0,英語,名詞,一般,*,*,英語,38
28,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
29,0,英語,名詞,一般,*,*,英語,38
32,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
33,0,英語,名詞,一般,*,*,英語,38
36,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
37,0,英語,名詞,一般,*,*,英語,38
40,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
41,0,英語,名詞,一般,*,*,英語,38
44,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
45,0,英語,名詞,一般,*,*,英語,38
0,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
1,0,英語,名詞,一般,*,*,英語,38
4,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
5,0,英語,名詞,一般,*,*,英語,38
8,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
9,0,英語,名詞,一般,*,*,英語,38
12,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
13,0,英語,名詞,一般,*,*,英語,38
16,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
17,0,英語,名詞,一般,*,*,英語,38
20,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
21,0,英語,名詞,一般,*,*,英語,38
24,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
25,0,英語,名詞,一般,*,*,英語,38
28,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
29,0,英語,名詞,一般,*,*,英語,38
32,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
33,0,英語,名詞,一般,*,*,英語,38
36,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
37,0,英語,名詞,一般,*,*,英語,38
40,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
41,0,英語,名詞,一般,*,*,英語,38
44,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
45,0,英語,名詞,一般,*,*,英語,38
0,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
1,0,英語,名詞,一般,*,*,英語,38
4,0,土木工学,名詞,固有名詞,一般,*,土木工学,41
5,0,英語,名詞,一般,*,*,英語,38
0,0,コース,名詞,一般,*,*,コース,38
2,0,テーマ,名詞,一般,*,*,テーマ,38
6,0,水,名詞,一般,*,*,水,38
7,0,環境,名詞,一般,*,*,環境,38
10,0,説明,名詞,サ変接続,*,*,説明,36
12,0,学生,名詞,一般,*,*,学生,38
13,0,それぞれ,名詞,副詞可能,*,*,それぞれ,67
15,0,自己紹介,名詞,固有名詞,一般,*,自己紹介,41
17,0,水,名詞,一般,*,*,水,38
18,0,環境,名詞,一般,*,*,環境,38
20,0,コース,名詞,一般,*,*,コース,38
22,0,テーマ,名詞,一般,*,*,テーマ,38
24,0,説明,名詞,サ変接続,*,*,説明,36
27,0,Water,名詞,固有名詞,一般,*,Water,41
29,0,Water,名詞,固有名詞,一般,*,Water,41
32,0,ビデオ,名詞,一般,*,*,ビデオ,38
33,0,鑑賞,名詞,サ変接続,*,*,鑑賞,36
36,0,ディスカッション,名詞,サ変接続,*,*,ディスカッション,36
40,1,帯水層,名詞,固有名詞,一般,*,帯水層,41
42,1,渇水,名詞,サ変接続,*,*,渇水,36
44,1,蒸発,名詞,サ変接続,*,*,蒸発,36
48,1,沈殿,名詞,サ変接続,*,*,沈殿,36
50,1,水,名詞,一般,*,*,水,38
52,1,循環,名詞,サ変接続,*,*,循環,36
53,1,水,名詞,接尾,一般,*,水,51
55,1,キーワード,名詞,一般,*,*,キーワード,38
57,1,意味,名詞,サ変接続,*,*,意味,36
59,1,説明,名詞,サ変接続,*,*,説明,36
61,1,グループ,名詞,一般,*,*,グループ,38
63,1,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
68,1,アフリカ,名詞,固有名詞,地域,一般,アフリカ,46
70,1,アジア,名詞,固有名詞,地域,一般,アジア,46
72,1,オーストラリア,名詞,固有名詞,地域,国,オーストラリア,47
74,1,米国,名詞,固有名詞,地域,国,米国,47
76,1,水,名詞,一般,*,*,水,38
77,1,問題,名詞,ナイ形容詞語幹,*,*,問題,37
80,1,工学,名詞,一般,*,*,工学,38
81,1,的,名詞,接尾,形容動詞語幹,*,的,52
82,1,対応,名詞,サ変接続,*,*,対応,36
83,1,例,名詞,一般,*,*,例,38
84,1,水,名詞,接尾,一般,*,水,51
85,1,問題,名詞,ナイ形容詞語幹,*,*,問題,37
87,1,質疑応答,名詞,固有名詞,一般,*,質疑応答,41
88,1,グループ,名詞,一般,*,*,グループ,38
90,1,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
92,1,1B,名詞,固有名詞,一般,*,1B,41
94,1,アフリカ,名詞,固有名詞,地域,一般,アフリカ,46
96,1,アジア,名詞,固有名詞,地域,一般,アジア,46
98,1,オーストラリア,名詞,固有名詞,地域,国,オーストラリア,47
100,1,米国,名詞,固有名詞,地域,国,米国,47
102,1,水,名詞,一般,*,*,水,38
103,1,問題,名詞,ナイ形容詞語幹,*,*,問題,37
106,1,工学,名詞,一般,*,*,工学,38
107,1,的,名詞,接尾,形容動詞語幹,*,的,52
108,1,対応,名詞,サ変接続,*,*,対応,36
109,1,例,名詞,一般,*,*,例,38
114,1,Air,名詞,固有名詞,一般,*,Air,41
115,1,and,名詞,固有名詞,人名,一般,AND,42
116,1,Water,名詞,固有名詞,人名,一般,Water,42
119,1,ビデオ,名詞,一般,*,*,ビデオ,38
120,1,鑑賞,名詞,サ変接続,*,*,鑑賞,36
123,1,ディスカッション,名詞,サ変接続,*,*,ディスカッション,36
130,2,森林伐採,名詞,固有名詞,一般,*,森林伐採,41
132,2,家庭,名詞,一般,*,*,家庭,38
133,2,排水,名詞,サ変接続,*,*,排水,36
135,2,産業廃棄物,名詞,固有名詞,一般,*,産業廃棄物,41
137,2,ごみ,名詞,一般,*,*,ごみ,38
138,2,処理,名詞,サ変接続,*,*,処理,36
139,2,地,名詞,接尾,一般,*,地,51
141,2,海,名詞,一般,*,*,海,38
143,2,ダンピング,名詞,サ変接続,*,*,ダンピング,36
145,2,下水,名詞,一般,*,*,下水,38
146,2,汚物,名詞,一般,*,*,汚物,38
147,2,環境,名詞,一般,*,*,環境,38
149,2,キーワード,名詞,一般,*,*,キーワード,38
151,2,意味,名詞,サ変接続,*,*,意味,36
153,2,説明,名詞,サ変接続,*,*,説明,36
155,2,グループ,名詞,一般,*,*,グループ,38
157,2,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
162,2,公害問題,名詞,固有名詞,一般,*,公害問題,41
164,2,大気,名詞,一般,*,*,大気,38
166,2,土地,名詞,一般,*,*,土地,38
168,2,水,名詞,一般,*,*,水,38
171,2,工学,名詞,一般,*,*,工学,38
172,2,技術,名詞,一般,*,*,技術,38
174,2,解決策,名詞,固有名詞,一般,*,解決策,41
175,2,環境問題,名詞,固有名詞,一般,*,環境問題,41
177,2,質疑応答,名詞,固有名詞,一般,*,質疑応答,41
178,2,グループ,名詞,一般,*,*,グループ,38
180,2,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
182,2,2B,名詞,固有名詞,人名,一般,2B,42
184,2,公害問題,名詞,固有名詞,一般,*,公害問題,41
186,2,大気,名詞,一般,*,*,大気,38
188,2,土地,名詞,一般,*,*,土地,38
190,2,水,名詞,一般,*,*,水,38
193,2,工学,名詞,一般,*,*,工学,38
194,2,技術,名詞,一般,*,*,技術,38
196,2,解決策,名詞,固有名詞,一般,*,解決策,41
197,2,コース,名詞,一般,*,*,コース,38
199,2,テーマ,名詞,一般,*,*,テーマ,38
201,2,水,名詞,一般,*,*,水,38
202,2,環境,名詞,一般,*,*,環境,38
205,2,復習,名詞,サ変接続,*,*,復習,36
207,2,ディスカッション,名詞,サ変接続,*,*,ディスカッション,36
209,2,ビデオ,名詞,一般,*,*,ビデオ,38
210,2,鑑賞,名詞,サ変接続,*,*,鑑賞,36
212,2,水,名詞,一般,*,*,水,38
213,2,環境,名詞,一般,*,*,環境,38
215,2,重要性,名詞,固有名詞,一般,*,重要性,41
217,2,説明,名詞,サ変接続,*,*,説明,36
220,2,コース,名詞,一般,*,*,コース,38
222,2,テーマ,名詞,一般,*,*,テーマ,38
226,2,水,名詞,一般,*,*,水,38
227,2,環境,名詞,一般,*,*,環境,38
230,2,説明,名詞,サ変接続,*,*,説明,36
232,2,学生,名詞,一般,*,*,学生,38
233,2,それぞれ,名詞,副詞可能,*,*,それぞれ,67
