Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
36,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
37,0,系,名詞,接尾,一般,*,系,51
38,0,ゼミ,名詞,一般,*,*,ゼミ,38
40,0,政策,名詞,一般,*,*,政策,38
42,0,メディア,名詞,一般,*,*,メディア,38
44,0,社会学,名詞,固有名詞,一般,*,社会学,41
46,0,導入,名詞,サ変接続,*,*,導入,36
48,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
49,0,系,名詞,接尾,一般,*,系,51
50,0,ゼミ,名詞,一般,*,*,ゼミ,38
52,0,政策,名詞,一般,*,*,政策,38
54,0,メディア,名詞,一般,*,*,メディア,38
56,0,社会学,名詞,固有名詞,一般,*,社会学,41
58,0,導入,名詞,サ変接続,*,*,導入,36
0,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
1,0,系,名詞,接尾,一般,*,系,51
2,0,ゼミ,名詞,一般,*,*,ゼミ,38
4,0,政策,名詞,一般,*,*,政策,38
6,0,メディア,名詞,一般,*,*,メディア,38
8,0,社会学,名詞,固有名詞,一般,*,社会学,41
10,0,導入,名詞,サ変接続,*,*,導入,36
12,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
13,0,系,名詞,接尾,一般,*,系,51
14,0,ゼミ,名詞,一般,*,*,ゼミ,38
16,0,政策,名詞,一般,*,*,政策,38
18,0,メディア,名詞,一般,*,*,メディア,38
20,0,社会学,名詞,固有名詞,一般,*,社会学,41
22,0,導入,名詞,サ変接続,*,*,導入,36
24,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
25,0,系,名詞,接尾,一般,*,系,51
26,0,ゼミ,名詞,一般,*,*,ゼミ,38
28,0,政策,名詞,一般,*,*,政策,38
30,0,メディア,名詞,一般,*,*,メディア,38
32,0,社会学,名詞,固有名詞,一般,*,社会学,41
34,0,導入,名詞,サ変接続,*,*,導入,36
36,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
37,0,系,名詞,接尾,一般,*,系,51
38,0,ゼミ,名詞,一般,*,*,ゼミ,38
40,0,政策,名詞,一般,*,*,政策,38
42,0,メディア,名詞,一般,*,*,メディア,38
44,0,社会学,名詞,固有名詞,一般,*,社会学,41
46,0,導入,名詞,サ変接続,*,*,導入,36
48,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
49,0,系,名詞,接尾,一般,*,系,51
50,0,ゼミ,名詞,一般,*,*,ゼミ,38
52,0,政策,名詞,一般,*,*,政策,38
54,0,メディア,名詞,一般,*,*,メディア,38
56,0,社会学,名詞,固有名詞,一般,*,社会学,41
58,0,導入,名詞,サ変接続,*,*,導入,36
0,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
1,0,系,名詞,接尾,一般,*,系,51
2,0,ゼミ,名詞,一般,*,*,ゼミ,38
4,0,政策,名詞,一般,*,*,政策,38
6,0,メディア,名詞,一般,*,*,メディア,38
8,0,社会学,名詞,固有名詞,一般,*,社会学,41
10,0,導入,名詞,サ変接続,*,*,導入,36
12,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
13,0,系,名詞,接尾,一般,*,系,51
14,0,ゼミ,名詞,一般,*,*,ゼミ,38
16,0,政策,名詞,一般,*,*,政策,38
18,0,メディア,名詞,一般,*,*,メディア,38
20,0,社会学,名詞,固有名詞,一般,*,社会学,41
22,0,導入,名詞,サ変接続,*,*,導入,36
24,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
25,0,系,名詞,接尾,一般,*,系,51
26,0,ゼミ,名詞,一般,*,*,ゼミ,38
28,0,政策,名詞,一般,*,*,政策,38
30,0,メディア,名詞,一般,*,*,メディア,38
32,0,社会学,名詞,固有名詞,一般,*,社会学,41
34,0,導入,名詞,サ変接続,*,*,導入,36
36,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
37,0,系,名詞,接尾,一般,*,系,51
38,0,ゼミ,名詞,一般,*,*,ゼミ,38
40,0,政策,名詞,一般,*,*,政策,38
42,0,メディア,名詞,一般,*,*,メディア,38
44,0,社会学,名詞,固有名詞,一般,*,社会学,41
46,0,導入,名詞,サ変接続,*,*,導入,36
48,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
49,0,系,名詞,接尾,一般,*,系,51
50,0,ゼミ,名詞,一般,*,*,ゼミ,38
52,0,政策,名詞,一般,*,*,政策,38
54,0,メディア,名詞,一般,*,*,メディア,38
56,0,社会学,名詞,固有名詞,一般,*,社会学,41
58,0,導入,名詞,サ変接続,*,*,導入,36
0,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
1,0,系,名詞,接尾,一般,*,系,51
2,0,ゼミ,名詞,一般,*,*,ゼミ,38
4,0,政策,名詞,一般,*,*,政策,38
6,0,メディア,名詞,一般,*,*,メディア,38
8,0,社会学,名詞,固有名詞,一般,*,社会学,41
10,0,導入,名詞,サ変接続,*,*,導入,36
12,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
13,0,系,名詞,接尾,一般,*,系,51
14,0,ゼミ,名詞,一般,*,*,ゼミ,38
16,0,政策,名詞,一般,*,*,政策,38
18,0,メディア,名詞,一般,*,*,メディア,38
20,0,社会学,名詞,固有名詞,一般,*,社会学,41
22,0,導入,名詞,サ変接続,*,*,導入,36
24,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
25,0,系,名詞,接尾,一般,*,系,51
26,0,ゼミ,名詞,一般,*,*,ゼミ,38
28,0,政策,名詞,一般,*,*,政策,38
30,0,メディア,名詞,一般,*,*,メディア,38
32,0,社会学,名詞,固有名詞,一般,*,社会学,41
34,0,導入,名詞,サ変接続,*,*,導入,36
36,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
37,0,系,名詞,接尾,一般,*,系,51
38,0,ゼミ,名詞,一般,*,*,ゼミ,38
40,0,政策,名詞,一般,*,*,政策,38
42,0,メディア,名詞,一般,*,*,メディア,38
44,0,社会学,名詞,固有名詞,一般,*,社会学,41
46,0,導入,名詞,サ変接続,*,*,導入,36
48,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
49,0,系,名詞,接尾,一般,*,系,51
50,0,ゼミ,名詞,一般,*,*,ゼミ,38
52,0,政策,名詞,一般,*,*,政策,38
54,0,メディア,名詞,一般,*,*,メディア,38
56,0,社会学,名詞,固有名詞,一般,*,社会学,41
58,0,導入,名詞,サ変接続,*,*,導入,36
0,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
1,0,系,名詞,接尾,一般,*,系,51
2,0,ゼミ,名詞,一般,*,*,ゼミ,38
4,0,政策,名詞,一般,*,*,政策,38
6,0,メディア,名詞,一般,*,*,メディア,38
8,0,社会学,名詞,固有名詞,一般,*,社会学,41
10,0,導入,名詞,サ変接続,*,*,導入,36
12,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
13,0,系,名詞,接尾,一般,*,系,51
14,0,ゼミ,名詞,一般,*,*,ゼミ,38
16,0,政策,名詞,一般,*,*,政策,38
18,0,メディア,名詞,一般,*,*,メディア,38
20,0,社会学,名詞,固有名詞,一般,*,社会学,41
22,0,導入,名詞,サ変接続,*,*,導入,36
24,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
25,0,系,名詞,接尾,一般,*,系,51
26,0,ゼミ,名詞,一般,*,*,ゼミ,38
28,0,政策,名詞,一般,*,*,政策,38
30,0,メディア,名詞,一般,*,*,メディア,38
32,0,社会学,名詞,固有名詞,一般,*,社会学,41
34,0,導入,名詞,サ変接続,*,*,導入,36
36,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
37,0,系,名詞,接尾,一般,*,系,51
38,0,ゼミ,名詞,一般,*,*,ゼミ,38
40,0,政策,名詞,一般,*,*,政策,38
42,0,メディア,名詞,一般,*,*,メディア,38
44,0,社会学,名詞,固有名詞,一般,*,社会学,41
46,0,導入,名詞,サ変接続,*,*,導入,36
48,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
49,0,系,名詞,接尾,一般,*,系,51
50,0,ゼミ,名詞,一般,*,*,ゼミ,38
52,0,政策,名詞,一般,*,*,政策,38
54,0,メディア,名詞,一般,*,*,メディア,38
56,0,社会学,名詞,固有名詞,一般,*,社会学,41
58,0,導入,名詞,サ変接続,*,*,導入,36
0,0,文献,名詞,一般,*,*,文献,38
1,0,購読,名詞,サ変接続,*,*,購読,36
3,0,輪読,名詞,サ変接続,*,*,輪読,36
5,0,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
7,0,合宿,名詞,サ変接続,*,*,合宿,36
9,0,プロジェクト,名詞,一般,*,*,プロジェクト,38
10,0,等,名詞,接尾,一般,*,等,51
11,0,適宜,名詞,副詞可能,*,*,適宜,67
12,0,指示,名詞,サ変接続,*,*,指示,36
15,1,適宜,名詞,副詞可能,*,*,適宜,67
16,1,指示,名詞,サ変接続,*,*,指示,36
19,2,文献,名詞,一般,*,*,文献,38
20,2,購読,名詞,サ変接続,*,*,購読,36
22,2,輪読,名詞,サ変接続,*,*,輪読,36
24,2,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
26,2,合宿,名詞,サ変接続,*,*,合宿,36
28,2,プロジェクト,名詞,一般,*,*,プロジェクト,38
29,2,等,名詞,接尾,一般,*,等,51
30,2,適宜,名詞,副詞可能,*,*,適宜,67
31,2,指示,名詞,サ変接続,*,*,指示,36
34,3,適宜,名詞,副詞可能,*,*,適宜,67
35,3,指示,名詞,サ変接続,*,*,指示,36
38,4,文献,名詞,一般,*,*,文献,38
39,4,購読,名詞,サ変接続,*,*,購読,36
41,4,輪読,名詞,サ変接続,*,*,輪読,36
43,4,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
45,4,合宿,名詞,サ変接続,*,*,合宿,36
47,4,プロジェクト,名詞,一般,*,*,プロジェクト,38
48,4,等,名詞,接尾,一般,*,等,51
49,4,適宜,名詞,副詞可能,*,*,適宜,67
50,4,指示,名詞,サ変接続,*,*,指示,36
53,5,適宜,名詞,副詞可能,*,*,適宜,67
54,5,指示,名詞,サ変接続,*,*,指示,36
57,6,文献,名詞,一般,*,*,文献,38
58,6,購読,名詞,サ変接続,*,*,購読,36
60,6,輪読,名詞,サ変接続,*,*,輪読,36
62,6,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
64,6,合宿,名詞,サ変接続,*,*,合宿,36
66,6,プロジェクト,名詞,一般,*,*,プロジェクト,38
67,6,等,名詞,接尾,一般,*,等,51
68,6,適宜,名詞,副詞可能,*,*,適宜,67
69,6,指示,名詞,サ変接続,*,*,指示,36
72,7,適宜,名詞,副詞可能,*,*,適宜,67
73,7,指示,名詞,サ変接続,*,*,指示,36
76,8,文献,名詞,一般,*,*,文献,38
77,8,購読,名詞,サ変接続,*,*,購読,36
79,8,輪読,名詞,サ変接続,*,*,輪読,36
81,8,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
83,8,合宿,名詞,サ変接続,*,*,合宿,36
85,8,プロジェクト,名詞,一般,*,*,プロジェクト,38
86,8,等,名詞,接尾,一般,*,等,51
87,8,適宜,名詞,副詞可能,*,*,適宜,67
88,8,指示,名詞,サ変接続,*,*,指示,36
91,9,適宜,名詞,副詞可能,*,*,適宜,67
92,9,指示,名詞,サ変接続,*,*,指示,36
