Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
45,0,グローバル,名詞,一般,*,*,グローバル,38
47,0,ローカル,名詞,一般,*,*,ローカル,38
48,0,変動,名詞,サ変接続,*,*,変動,36
49,0,環境,名詞,一般,*,*,環境,38
50,0,下,名詞,接尾,一般,*,下,51
52,0,社会,名詞,一般,*,*,社会,38
54,0,生態系,名詞,固有名詞,一般,*,生態系,41
55,0,共存,名詞,サ変接続,*,*,共存,36
56,0,システム,名詞,一般,*,*,システム,38
57,0,論,名詞,接尾,一般,*,論,51
58,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
59,0,システム,名詞,一般,*,*,システム,38
61,0,生態系,名詞,固有名詞,一般,*,生態系,41
63,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
64,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
65,0,基礎,名詞,一般,*,*,基礎,38
66,0,海岸,名詞,一般,*,*,海岸,38
68,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
69,0,グローバル,名詞,一般,*,*,グローバル,38
71,0,ローカル,名詞,一般,*,*,ローカル,38
72,0,変動,名詞,サ変接続,*,*,変動,36
73,0,環境,名詞,一般,*,*,環境,38
74,0,下,名詞,接尾,一般,*,下,51
76,0,社会,名詞,一般,*,*,社会,38
78,0,生態系,名詞,固有名詞,一般,*,生態系,41
79,0,共存,名詞,サ変接続,*,*,共存,36
80,0,システム,名詞,一般,*,*,システム,38
81,0,論,名詞,接尾,一般,*,論,51
82,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
83,0,システム,名詞,一般,*,*,システム,38
85,0,生態系,名詞,固有名詞,一般,*,生態系,41
87,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
88,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
89,0,基礎,名詞,一般,*,*,基礎,38
90,0,海岸,名詞,一般,*,*,海岸,38
92,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
93,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
94,0,システム,名詞,一般,*,*,システム,38
96,0,生態系,名詞,固有名詞,一般,*,生態系,41
98,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
99,0,地域,名詞,一般,*,*,地域,38
101,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
102,0,概論,名詞,サ変接続,*,*,概論,36
105,0,地域,名詞,一般,*,*,地域,38
107,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
108,0,概論,名詞,サ変接続,*,*,概論,36
111,0,海岸,名詞,一般,*,*,海岸,38
113,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
114,0,グローバル,名詞,一般,*,*,グローバル,38
116,0,ローカル,名詞,一般,*,*,ローカル,38
117,0,変動,名詞,サ変接続,*,*,変動,36
118,0,環境,名詞,一般,*,*,環境,38
119,0,下,名詞,接尾,一般,*,下,51
121,0,社会,名詞,一般,*,*,社会,38
123,0,生態系,名詞,固有名詞,一般,*,生態系,41
124,0,共存,名詞,サ変接続,*,*,共存,36
125,0,システム,名詞,一般,*,*,システム,38
126,0,論,名詞,接尾,一般,*,論,51
127,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
128,0,システム,名詞,一般,*,*,システム,38
130,0,生態系,名詞,固有名詞,一般,*,生態系,41
132,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
133,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
134,0,基礎,名詞,一般,*,*,基礎,38
135,0,海岸,名詞,一般,*,*,海岸,38
137,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
138,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
139,0,システム,名詞,一般,*,*,システム,38
141,0,生態系,名詞,固有名詞,一般,*,生態系,41
143,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
144,0,地域,名詞,一般,*,*,地域,38
146,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
147,0,概論,名詞,サ変接続,*,*,概論,36
150,0,地域,名詞,一般,*,*,地域,38
152,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
153,0,概論,名詞,サ変接続,*,*,概論,36
156,0,海岸,名詞,一般,*,*,海岸,38
158,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
159,0,グローバル,名詞,一般,*,*,グローバル,38
161,0,ローカル,名詞,一般,*,*,ローカル,38
162,0,変動,名詞,サ変接続,*,*,変動,36
163,0,環境,名詞,一般,*,*,環境,38
164,0,下,名詞,接尾,一般,*,下,51
166,0,社会,名詞,一般,*,*,社会,38
168,0,生態系,名詞,固有名詞,一般,*,生態系,41
169,0,共存,名詞,サ変接続,*,*,共存,36
170,0,システム,名詞,一般,*,*,システム,38
171,0,論,名詞,接尾,一般,*,論,51
172,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
173,0,システム,名詞,一般,*,*,システム,38
175,0,生態系,名詞,固有名詞,一般,*,生態系,41
177,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
178,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
179,0,基礎,名詞,一般,*,*,基礎,38
180,0,海岸,名詞,一般,*,*,海岸,38
182,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
183,0,グローバル,名詞,一般,*,*,グローバル,38
185,0,ローカル,名詞,一般,*,*,ローカル,38
186,0,変動,名詞,サ変接続,*,*,変動,36
187,0,環境,名詞,一般,*,*,環境,38
188,0,下,名詞,接尾,一般,*,下,51
190,0,社会,名詞,一般,*,*,社会,38
192,0,生態系,名詞,固有名詞,一般,*,生態系,41
193,0,共存,名詞,サ変接続,*,*,共存,36
194,0,システム,名詞,一般,*,*,システム,38
195,0,論,名詞,接尾,一般,*,論,51
196,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
197,0,システム,名詞,一般,*,*,システム,38
199,0,生態系,名詞,固有名詞,一般,*,生態系,41
201,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
202,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
203,0,基礎,名詞,一般,*,*,基礎,38
204,0,海岸,名詞,一般,*,*,海岸,38
206,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
207,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
208,0,システム,名詞,一般,*,*,システム,38
210,0,生態系,名詞,固有名詞,一般,*,生態系,41
212,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
213,0,地域,名詞,一般,*,*,地域,38
215,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
216,0,概論,名詞,サ変接続,*,*,概論,36
219,0,地域,名詞,一般,*,*,地域,38
221,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
222,0,概論,名詞,サ変接続,*,*,概論,36
225,0,海岸,名詞,一般,*,*,海岸,38
227,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
0,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
1,0,システム,名詞,一般,*,*,システム,38
3,0,生態系,名詞,固有名詞,一般,*,生態系,41
5,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
6,0,地域,名詞,一般,*,*,地域,38
8,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
9,0,概論,名詞,サ変接続,*,*,概論,36
12,0,地域,名詞,一般,*,*,地域,38
14,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
15,0,概論,名詞,サ変接続,*,*,概論,36
18,0,海岸,名詞,一般,*,*,海岸,38
20,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
21,0,グローバル,名詞,一般,*,*,グローバル,38
23,0,ローカル,名詞,一般,*,*,ローカル,38
24,0,変動,名詞,サ変接続,*,*,変動,36
25,0,環境,名詞,一般,*,*,環境,38
26,0,下,名詞,接尾,一般,*,下,51
28,0,社会,名詞,一般,*,*,社会,38
30,0,生態系,名詞,固有名詞,一般,*,生態系,41
31,0,共存,名詞,サ変接続,*,*,共存,36
32,0,システム,名詞,一般,*,*,システム,38
33,0,論,名詞,接尾,一般,*,論,51
34,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
35,0,システム,名詞,一般,*,*,システム,38
37,0,生態系,名詞,固有名詞,一般,*,生態系,41
39,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
40,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
41,0,基礎,名詞,一般,*,*,基礎,38
42,0,海岸,名詞,一般,*,*,海岸,38
44,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
45,0,グローバル,名詞,一般,*,*,グローバル,38
47,0,ローカル,名詞,一般,*,*,ローカル,38
48,0,変動,名詞,サ変接続,*,*,変動,36
49,0,環境,名詞,一般,*,*,環境,38
50,0,下,名詞,接尾,一般,*,下,51
52,0,社会,名詞,一般,*,*,社会,38
54,0,生態系,名詞,固有名詞,一般,*,生態系,41
55,0,共存,名詞,サ変接続,*,*,共存,36
56,0,システム,名詞,一般,*,*,システム,38
57,0,論,名詞,接尾,一般,*,論,51
58,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
59,0,システム,名詞,一般,*,*,システム,38
61,0,生態系,名詞,固有名詞,一般,*,生態系,41
63,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
64,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
65,0,基礎,名詞,一般,*,*,基礎,38
66,0,海岸,名詞,一般,*,*,海岸,38
68,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
69,0,グローバル,名詞,一般,*,*,グローバル,38
71,0,ローカル,名詞,一般,*,*,ローカル,38
72,0,変動,名詞,サ変接続,*,*,変動,36
73,0,環境,名詞,一般,*,*,環境,38
74,0,下,名詞,接尾,一般,*,下,51
76,0,社会,名詞,一般,*,*,社会,38
78,0,生態系,名詞,固有名詞,一般,*,生態系,41
79,0,共存,名詞,サ変接続,*,*,共存,36
80,0,システム,名詞,一般,*,*,システム,38
81,0,論,名詞,接尾,一般,*,論,51
82,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
83,0,システム,名詞,一般,*,*,システム,38
85,0,生態系,名詞,固有名詞,一般,*,生態系,41
87,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
88,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
89,0,基礎,名詞,一般,*,*,基礎,38
90,0,海岸,名詞,一般,*,*,海岸,38
92,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
93,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
94,0,システム,名詞,一般,*,*,システム,38
96,0,生態系,名詞,固有名詞,一般,*,生態系,41
98,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
99,0,地域,名詞,一般,*,*,地域,38
101,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
102,0,概論,名詞,サ変接続,*,*,概論,36
105,0,地域,名詞,一般,*,*,地域,38
107,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
108,0,概論,名詞,サ変接続,*,*,概論,36
111,0,海岸,名詞,一般,*,*,海岸,38
113,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
114,0,グローバル,名詞,一般,*,*,グローバル,38
116,0,ローカル,名詞,一般,*,*,ローカル,38
117,0,変動,名詞,サ変接続,*,*,変動,36
118,0,環境,名詞,一般,*,*,環境,38
119,0,下,名詞,接尾,一般,*,下,51
121,0,社会,名詞,一般,*,*,社会,38
123,0,生態系,名詞,固有名詞,一般,*,生態系,41
124,0,共存,名詞,サ変接続,*,*,共存,36
125,0,システム,名詞,一般,*,*,システム,38
126,0,論,名詞,接尾,一般,*,論,51
127,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
128,0,システム,名詞,一般,*,*,システム,38
130,0,生態系,名詞,固有名詞,一般,*,生態系,41
132,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
133,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
134,0,基礎,名詞,一般,*,*,基礎,38
135,0,海岸,名詞,一般,*,*,海岸,38
137,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
138,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
139,0,システム,名詞,一般,*,*,システム,38
141,0,生態系,名詞,固有名詞,一般,*,生態系,41
143,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
144,0,地域,名詞,一般,*,*,地域,38
146,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
147,0,概論,名詞,サ変接続,*,*,概論,36
150,0,地域,名詞,一般,*,*,地域,38
152,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
153,0,概論,名詞,サ変接続,*,*,概論,36
156,0,海岸,名詞,一般,*,*,海岸,38
158,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
159,0,グローバル,名詞,一般,*,*,グローバル,38
161,0,ローカル,名詞,一般,*,*,ローカル,38
162,0,変動,名詞,サ変接続,*,*,変動,36
163,0,環境,名詞,一般,*,*,環境,38
164,0,下,名詞,接尾,一般,*,下,51
166,0,社会,名詞,一般,*,*,社会,38
168,0,生態系,名詞,固有名詞,一般,*,生態系,41
169,0,共存,名詞,サ変接続,*,*,共存,36
170,0,システム,名詞,一般,*,*,システム,38
171,0,論,名詞,接尾,一般,*,論,51
172,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
173,0,システム,名詞,一般,*,*,システム,38
175,0,生態系,名詞,固有名詞,一般,*,生態系,41
177,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
178,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
179,0,基礎,名詞,一般,*,*,基礎,38
180,0,海岸,名詞,一般,*,*,海岸,38
182,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
183,0,グローバル,名詞,一般,*,*,グローバル,38
185,0,ローカル,名詞,一般,*,*,ローカル,38
186,0,変動,名詞,サ変接続,*,*,変動,36
187,0,環境,名詞,一般,*,*,環境,38
188,0,下,名詞,接尾,一般,*,下,51
190,0,社会,名詞,一般,*,*,社会,38
192,0,生態系,名詞,固有名詞,一般,*,生態系,41
193,0,共存,名詞,サ変接続,*,*,共存,36
194,0,システム,名詞,一般,*,*,システム,38
195,0,論,名詞,接尾,一般,*,論,51
196,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
197,0,システム,名詞,一般,*,*,システム,38
199,0,生態系,名詞,固有名詞,一般,*,生態系,41
201,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
202,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
203,0,基礎,名詞,一般,*,*,基礎,38
204,0,海岸,名詞,一般,*,*,海岸,38
206,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
207,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
208,0,システム,名詞,一般,*,*,システム,38
210,0,生態系,名詞,固有名詞,一般,*,生態系,41
212,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
213,0,地域,名詞,一般,*,*,地域,38
215,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
216,0,概論,名詞,サ変接続,*,*,概論,36
219,0,地域,名詞,一般,*,*,地域,38
221,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
222,0,概論,名詞,サ変接続,*,*,概論,36
225,0,海岸,名詞,一般,*,*,海岸,38
227,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
0,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
1,0,システム,名詞,一般,*,*,システム,38
3,0,生態系,名詞,固有名詞,一般,*,生態系,41
5,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
6,0,地域,名詞,一般,*,*,地域,38
8,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
9,0,概論,名詞,サ変接続,*,*,概論,36
12,0,地域,名詞,一般,*,*,地域,38
14,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
15,0,概論,名詞,サ変接続,*,*,概論,36
18,0,海岸,名詞,一般,*,*,海岸,38
20,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
21,0,グローバル,名詞,一般,*,*,グローバル,38
23,0,ローカル,名詞,一般,*,*,ローカル,38
24,0,変動,名詞,サ変接続,*,*,変動,36
25,0,環境,名詞,一般,*,*,環境,38
26,0,下,名詞,接尾,一般,*,下,51
28,0,社会,名詞,一般,*,*,社会,38
30,0,生態系,名詞,固有名詞,一般,*,生態系,41
31,0,共存,名詞,サ変接続,*,*,共存,36
32,0,システム,名詞,一般,*,*,システム,38
33,0,論,名詞,接尾,一般,*,論,51
34,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
35,0,システム,名詞,一般,*,*,システム,38
37,0,生態系,名詞,固有名詞,一般,*,生態系,41
39,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
40,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
41,0,基礎,名詞,一般,*,*,基礎,38
42,0,海岸,名詞,一般,*,*,海岸,38
44,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
45,0,グローバル,名詞,一般,*,*,グローバル,38
47,0,ローカル,名詞,一般,*,*,ローカル,38
48,0,変動,名詞,サ変接続,*,*,変動,36
49,0,環境,名詞,一般,*,*,環境,38
50,0,下,名詞,接尾,一般,*,下,51
52,0,社会,名詞,一般,*,*,社会,38
54,0,生態系,名詞,固有名詞,一般,*,生態系,41
55,0,共存,名詞,サ変接続,*,*,共存,36
56,0,システム,名詞,一般,*,*,システム,38
57,0,論,名詞,接尾,一般,*,論,51
58,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
59,0,システム,名詞,一般,*,*,システム,38
61,0,生態系,名詞,固有名詞,一般,*,生態系,41
63,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
64,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
65,0,基礎,名詞,一般,*,*,基礎,38
66,0,海岸,名詞,一般,*,*,海岸,38
68,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
69,0,グローバル,名詞,一般,*,*,グローバル,38
71,0,ローカル,名詞,一般,*,*,ローカル,38
72,0,変動,名詞,サ変接続,*,*,変動,36
73,0,環境,名詞,一般,*,*,環境,38
74,0,下,名詞,接尾,一般,*,下,51
76,0,社会,名詞,一般,*,*,社会,38
78,0,生態系,名詞,固有名詞,一般,*,生態系,41
79,0,共存,名詞,サ変接続,*,*,共存,36
80,0,システム,名詞,一般,*,*,システム,38
81,0,論,名詞,接尾,一般,*,論,51
82,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
83,0,システム,名詞,一般,*,*,システム,38
85,0,生態系,名詞,固有名詞,一般,*,生態系,41
87,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
88,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
89,0,基礎,名詞,一般,*,*,基礎,38
90,0,海岸,名詞,一般,*,*,海岸,38
92,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
93,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
94,0,システム,名詞,一般,*,*,システム,38
96,0,生態系,名詞,固有名詞,一般,*,生態系,41
98,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
99,0,地域,名詞,一般,*,*,地域,38
101,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
102,0,概論,名詞,サ変接続,*,*,概論,36
105,0,地域,名詞,一般,*,*,地域,38
107,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
108,0,概論,名詞,サ変接続,*,*,概論,36
111,0,海岸,名詞,一般,*,*,海岸,38
113,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
114,0,グローバル,名詞,一般,*,*,グローバル,38
116,0,ローカル,名詞,一般,*,*,ローカル,38
117,0,変動,名詞,サ変接続,*,*,変動,36
118,0,環境,名詞,一般,*,*,環境,38
119,0,下,名詞,接尾,一般,*,下,51
121,0,社会,名詞,一般,*,*,社会,38
123,0,生態系,名詞,固有名詞,一般,*,生態系,41
124,0,共存,名詞,サ変接続,*,*,共存,36
125,0,システム,名詞,一般,*,*,システム,38
126,0,論,名詞,接尾,一般,*,論,51
127,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
128,0,システム,名詞,一般,*,*,システム,38
130,0,生態系,名詞,固有名詞,一般,*,生態系,41
132,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
133,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
134,0,基礎,名詞,一般,*,*,基礎,38
135,0,海岸,名詞,一般,*,*,海岸,38
137,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
138,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
139,0,システム,名詞,一般,*,*,システム,38
141,0,生態系,名詞,固有名詞,一般,*,生態系,41
143,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
144,0,地域,名詞,一般,*,*,地域,38
146,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
147,0,概論,名詞,サ変接続,*,*,概論,36
150,0,地域,名詞,一般,*,*,地域,38
152,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
153,0,概論,名詞,サ変接続,*,*,概論,36
156,0,海岸,名詞,一般,*,*,海岸,38
158,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
159,0,グローバル,名詞,一般,*,*,グローバル,38
161,0,ローカル,名詞,一般,*,*,ローカル,38
162,0,変動,名詞,サ変接続,*,*,変動,36
163,0,環境,名詞,一般,*,*,環境,38
164,0,下,名詞,接尾,一般,*,下,51
166,0,社会,名詞,一般,*,*,社会,38
168,0,生態系,名詞,固有名詞,一般,*,生態系,41
169,0,共存,名詞,サ変接続,*,*,共存,36
170,0,システム,名詞,一般,*,*,システム,38
171,0,論,名詞,接尾,一般,*,論,51
172,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
173,0,システム,名詞,一般,*,*,システム,38
175,0,生態系,名詞,固有名詞,一般,*,生態系,41
177,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
178,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
179,0,基礎,名詞,一般,*,*,基礎,38
180,0,海岸,名詞,一般,*,*,海岸,38
182,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
183,0,グローバル,名詞,一般,*,*,グローバル,38
185,0,ローカル,名詞,一般,*,*,ローカル,38
186,0,変動,名詞,サ変接続,*,*,変動,36
187,0,環境,名詞,一般,*,*,環境,38
188,0,下,名詞,接尾,一般,*,下,51
190,0,社会,名詞,一般,*,*,社会,38
192,0,生態系,名詞,固有名詞,一般,*,生態系,41
193,0,共存,名詞,サ変接続,*,*,共存,36
194,0,システム,名詞,一般,*,*,システム,38
195,0,論,名詞,接尾,一般,*,論,51
196,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
197,0,システム,名詞,一般,*,*,システム,38
199,0,生態系,名詞,固有名詞,一般,*,生態系,41
201,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
202,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
203,0,基礎,名詞,一般,*,*,基礎,38
204,0,海岸,名詞,一般,*,*,海岸,38
206,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
207,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
208,0,システム,名詞,一般,*,*,システム,38
210,0,生態系,名詞,固有名詞,一般,*,生態系,41
212,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
213,0,地域,名詞,一般,*,*,地域,38
215,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
216,0,概論,名詞,サ変接続,*,*,概論,36
219,0,地域,名詞,一般,*,*,地域,38
221,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
222,0,概論,名詞,サ変接続,*,*,概論,36
225,0,海岸,名詞,一般,*,*,海岸,38
227,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
0,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
1,0,システム,名詞,一般,*,*,システム,38
3,0,生態系,名詞,固有名詞,一般,*,生態系,41
5,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
6,0,地域,名詞,一般,*,*,地域,38
8,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
9,0,概論,名詞,サ変接続,*,*,概論,36
12,0,地域,名詞,一般,*,*,地域,38
14,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
15,0,概論,名詞,サ変接続,*,*,概論,36
18,0,海岸,名詞,一般,*,*,海岸,38
20,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
21,0,グローバル,名詞,一般,*,*,グローバル,38
23,0,ローカル,名詞,一般,*,*,ローカル,38
24,0,変動,名詞,サ変接続,*,*,変動,36
25,0,環境,名詞,一般,*,*,環境,38
26,0,下,名詞,接尾,一般,*,下,51
28,0,社会,名詞,一般,*,*,社会,38
30,0,生態系,名詞,固有名詞,一般,*,生態系,41
31,0,共存,名詞,サ変接続,*,*,共存,36
32,0,システム,名詞,一般,*,*,システム,38
33,0,論,名詞,接尾,一般,*,論,51
34,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
35,0,システム,名詞,一般,*,*,システム,38
37,0,生態系,名詞,固有名詞,一般,*,生態系,41
39,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
40,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
41,0,基礎,名詞,一般,*,*,基礎,38
42,0,海岸,名詞,一般,*,*,海岸,38
44,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
45,0,グローバル,名詞,一般,*,*,グローバル,38
47,0,ローカル,名詞,一般,*,*,ローカル,38
48,0,変動,名詞,サ変接続,*,*,変動,36
49,0,環境,名詞,一般,*,*,環境,38
50,0,下,名詞,接尾,一般,*,下,51
52,0,社会,名詞,一般,*,*,社会,38
54,0,生態系,名詞,固有名詞,一般,*,生態系,41
55,0,共存,名詞,サ変接続,*,*,共存,36
56,0,システム,名詞,一般,*,*,システム,38
57,0,論,名詞,接尾,一般,*,論,51
58,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
59,0,システム,名詞,一般,*,*,システム,38
61,0,生態系,名詞,固有名詞,一般,*,生態系,41
63,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
64,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
65,0,基礎,名詞,一般,*,*,基礎,38
66,0,海岸,名詞,一般,*,*,海岸,38
68,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
69,0,グローバル,名詞,一般,*,*,グローバル,38
71,0,ローカル,名詞,一般,*,*,ローカル,38
72,0,変動,名詞,サ変接続,*,*,変動,36
73,0,環境,名詞,一般,*,*,環境,38
74,0,下,名詞,接尾,一般,*,下,51
76,0,社会,名詞,一般,*,*,社会,38
78,0,生態系,名詞,固有名詞,一般,*,生態系,41
79,0,共存,名詞,サ変接続,*,*,共存,36
80,0,システム,名詞,一般,*,*,システム,38
81,0,論,名詞,接尾,一般,*,論,51
82,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
83,0,システム,名詞,一般,*,*,システム,38
85,0,生態系,名詞,固有名詞,一般,*,生態系,41
87,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
88,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
89,0,基礎,名詞,一般,*,*,基礎,38
90,0,海岸,名詞,一般,*,*,海岸,38
92,0,海洋工学,名詞,固有名詞,一般,*,海洋工学,41
93,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
94,0,システム,名詞,一般,*,*,システム,38
96,0,生態系,名詞,固有名詞,一般,*,生態系,41
98,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
99,0,地域,名詞,一般,*,*,地域,38
101,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
102,0,概論,名詞,サ変接続,*,*,概論,36
