Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
155,5,質疑応答,名詞,固有名詞,一般,*,質疑応答,41
157,5,こなす,動詞,自立,*,*,こなす,31
160,5,できる,動詞,自立,*,*,できる,31
162,6,コース,名詞,一般,*,*,コース,38
163,6,終了,名詞,サ変接続,*,*,終了,36
168,6,学生,名詞,一般,*,*,学生,38
170,6,聴衆,名詞,一般,*,*,聴衆,38
172,6,惹き,動詞,自立,*,*,惹く,31
176,6,一人,名詞,一般,*,*,一人,38
178,6,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
180,6,おこない,動詞,自立,*,*,おこなう,31
182,6,質疑応答,名詞,固有名詞,一般,*,質疑応答,41
184,6,こなす,動詞,自立,*,*,こなす,31
187,6,できる,動詞,自立,*,*,できる,31
189,7,コース,名詞,一般,*,*,コース,38
190,7,終了,名詞,サ変接続,*,*,終了,36
195,7,学生,名詞,一般,*,*,学生,38
197,7,聴衆,名詞,一般,*,*,聴衆,38
199,7,惹き,動詞,自立,*,*,惹く,31
203,7,一人,名詞,一般,*,*,一人,38
205,7,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
207,7,おこない,動詞,自立,*,*,おこなう,31
209,7,質疑応答,名詞,固有名詞,一般,*,質疑応答,41
211,7,こなす,動詞,自立,*,*,こなす,31
214,7,できる,動詞,自立,*,*,できる,31
216,8,コース,名詞,一般,*,*,コース,38
217,8,終了,名詞,サ変接続,*,*,終了,36
222,8,学生,名詞,一般,*,*,学生,38
224,8,聴衆,名詞,一般,*,*,聴衆,38
226,8,惹き,動詞,自立,*,*,惹く,31
230,8,一人,名詞,一般,*,*,一人,38
232,8,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
234,8,おこない,動詞,自立,*,*,おこなう,31
236,8,質疑応答,名詞,固有名詞,一般,*,質疑応答,41
238,8,こなす,動詞,自立,*,*,こなす,31
241,8,できる,動詞,自立,*,*,できる,31
0,0,コース,名詞,一般,*,*,コース,38
1,0,終了,名詞,サ変接続,*,*,終了,36
6,0,学生,名詞,一般,*,*,学生,38
8,0,聴衆,名詞,一般,*,*,聴衆,38
10,0,惹き,動詞,自立,*,*,惹く,31
14,0,一人,名詞,一般,*,*,一人,38
16,0,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
18,0,おこない,動詞,自立,*,*,おこなう,31
20,0,質疑応答,名詞,固有名詞,一般,*,質疑応答,41
22,0,こなす,動詞,自立,*,*,こなす,31
25,0,できる,動詞,自立,*,*,できる,31
27,1,コース,名詞,一般,*,*,コース,38
28,1,終了,名詞,サ変接続,*,*,終了,36
33,1,学生,名詞,一般,*,*,学生,38
35,1,聴衆,名詞,一般,*,*,聴衆,38
37,1,惹き,動詞,自立,*,*,惹く,31
41,1,一人,名詞,一般,*,*,一人,38
43,1,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
45,1,おこない,動詞,自立,*,*,おこなう,31
47,1,質疑応答,名詞,固有名詞,一般,*,質疑応答,41
49,1,こなす,動詞,自立,*,*,こなす,31
52,1,できる,動詞,自立,*,*,できる,31
54,2,コース,名詞,一般,*,*,コース,38
55,2,終了,名詞,サ変接続,*,*,終了,36
60,2,学生,名詞,一般,*,*,学生,38
62,2,聴衆,名詞,一般,*,*,聴衆,38
64,2,惹き,動詞,自立,*,*,惹く,31
68,2,一人,名詞,一般,*,*,一人,38
70,2,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
72,2,おこない,動詞,自立,*,*,おこなう,31
74,2,質疑応答,名詞,固有名詞,一般,*,質疑応答,41
76,2,こなす,動詞,自立,*,*,こなす,31
79,2,できる,動詞,自立,*,*,できる,31
81,3,コース,名詞,一般,*,*,コース,38
82,3,終了,名詞,サ変接続,*,*,終了,36
87,3,学生,名詞,一般,*,*,学生,38
89,3,聴衆,名詞,一般,*,*,聴衆,38
91,3,惹き,動詞,自立,*,*,惹く,31
95,3,一人,名詞,一般,*,*,一人,38
97,3,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
99,3,おこない,動詞,自立,*,*,おこなう,31
101,3,質疑応答,名詞,固有名詞,一般,*,質疑応答,41
103,3,こなす,動詞,自立,*,*,こなす,31
106,3,できる,動詞,自立,*,*,できる,31
108,4,コース,名詞,一般,*,*,コース,38
109,4,終了,名詞,サ変接続,*,*,終了,36
114,4,学生,名詞,一般,*,*,学生,38
116,4,聴衆,名詞,一般,*,*,聴衆,38
118,4,惹き,動詞,自立,*,*,惹く,31
122,4,一人,名詞,一般,*,*,一人,38
124,4,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
126,4,おこない,動詞,自立,*,*,おこなう,31
128,4,質疑応答,名詞,固有名詞,一般,*,質疑応答,41
130,4,こなす,動詞,自立,*,*,こなす,31
133,4,できる,動詞,自立,*,*,できる,31
135,5,コース,名詞,一般,*,*,コース,38
136,5,終了,名詞,サ変接続,*,*,終了,36
141,5,学生,名詞,一般,*,*,学生,38
143,5,聴衆,名詞,一般,*,*,聴衆,38
145,5,惹き,動詞,自立,*,*,惹く,31
149,5,一人,名詞,一般,*,*,一人,38
151,5,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
153,5,おこない,動詞,自立,*,*,おこなう,31
155,5,質疑応答,名詞,固有名詞,一般,*,質疑応答,41
157,5,こなす,動詞,自立,*,*,こなす,31
160,5,できる,動詞,自立,*,*,できる,31
162,6,コース,名詞,一般,*,*,コース,38
163,6,終了,名詞,サ変接続,*,*,終了,36
168,6,学生,名詞,一般,*,*,学生,38
170,6,聴衆,名詞,一般,*,*,聴衆,38
172,6,惹き,動詞,自立,*,*,惹く,31
176,6,一人,名詞,一般,*,*,一人,38
178,6,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
180,6,おこない,動詞,自立,*,*,おこなう,31
182,6,質疑応答,名詞,固有名詞,一般,*,質疑応答,41
184,6,こなす,動詞,自立,*,*,こなす,31
187,6,できる,動詞,自立,*,*,できる,31
189,7,コース,名詞,一般,*,*,コース,38
190,7,終了,名詞,サ変接続,*,*,終了,36
195,7,学生,名詞,一般,*,*,学生,38
197,7,聴衆,名詞,一般,*,*,聴衆,38
199,7,惹き,動詞,自立,*,*,惹く,31
203,7,一人,名詞,一般,*,*,一人,38
205,7,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
207,7,おこない,動詞,自立,*,*,おこなう,31
209,7,質疑応答,名詞,固有名詞,一般,*,質疑応答,41
211,7,こなす,動詞,自立,*,*,こなす,31
214,7,できる,動詞,自立,*,*,できる,31
216,8,コース,名詞,一般,*,*,コース,38
217,8,終了,名詞,サ変接続,*,*,終了,36
222,8,学生,名詞,一般,*,*,学生,38
224,8,聴衆,名詞,一般,*,*,聴衆,38
226,8,惹き,動詞,自立,*,*,惹く,31
230,8,一人,名詞,一般,*,*,一人,38
232,8,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
234,8,おこない,動詞,自立,*,*,おこなう,31
236,8,質疑応答,名詞,固有名詞,一般,*,質疑応答,41
238,8,こなす,動詞,自立,*,*,こなす,31
241,8,できる,動詞,自立,*,*,できる,31
0,0,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
2,0,スキル,名詞,一般,*,*,スキル,38
3,0,リスニング,名詞,一般,*,*,リスニング,38
5,0,スキル,名詞,一般,*,*,スキル,38
6,0,コミュニケーション,名詞,一般,*,*,コミュニケーション,38
8,0,スキル,名詞,一般,*,*,スキル,38
9,0,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
11,0,スキル,名詞,一般,*,*,スキル,38
12,0,リスニング,名詞,一般,*,*,リスニング,38
14,0,スキル,名詞,一般,*,*,スキル,38
15,0,コミュニケーション,名詞,一般,*,*,コミュニケーション,38
17,0,スキル,名詞,一般,*,*,スキル,38
18,0,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
20,0,スキル,名詞,一般,*,*,スキル,38
21,0,リスニング,名詞,一般,*,*,リスニング,38
23,0,スキル,名詞,一般,*,*,スキル,38
24,0,コミュニケーション,名詞,一般,*,*,コミュニケーション,38
26,0,スキル,名詞,一般,*,*,スキル,38
27,0,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
29,0,スキル,名詞,一般,*,*,スキル,38
30,0,リスニング,名詞,一般,*,*,リスニング,38
32,0,スキル,名詞,一般,*,*,スキル,38
33,0,コミュニケーション,名詞,一般,*,*,コミュニケーション,38
35,0,スキル,名詞,一般,*,*,スキル,38
36,0,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
38,0,スキル,名詞,一般,*,*,スキル,38
39,0,リスニング,名詞,一般,*,*,リスニング,38
41,0,スキル,名詞,一般,*,*,スキル,38
42,0,コミュニケーション,名詞,一般,*,*,コミュニケーション,38
44,0,スキル,名詞,一般,*,*,スキル,38
45,0,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
47,0,スキル,名詞,一般,*,*,スキル,38
