Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
34,0,国際,名詞,一般,*,*,国際,38
35,0,コミュニケーション,名詞,一般,*,*,コミュニケーション,38
0,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
2,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
4,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
6,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
8,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
10,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
12,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
14,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
16,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
0,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
2,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
4,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
0,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
2,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
4,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
0,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
2,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
4,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
0,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
2,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
4,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
0,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
2,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
4,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
0,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
2,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
4,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
0,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
2,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
4,0,韓国語,名詞,固有名詞,一般,*,韓国語,41
1,0,テスト,名詞,サ変接続,*,*,テスト,36
2,0,解説,名詞,サ変接続,*,*,解説,36
4,1,内,名詞,接尾,一般,*,内,51
6,1,指示,名詞,サ変接続,*,*,指示,36
10,2,意思,名詞,サ変接続,*,*,意思,36
12,2,推測,名詞,サ変接続,*,*,推測,36
14,2,表現,名詞,サ変接続,*,*,表現,36
15,2,自分,名詞,一般,*,*,自分,38
17,2,気持ち,名詞,一般,*,*,気持ち,38
19,2,周り,名詞,一般,*,*,周り,38
21,2,様子,名詞,一般,*,*,様子,38
23,2,表現,名詞,サ変接続,*,*,表現,36
25,2,形容詞,名詞,一般,*,*,形容詞,38
26,2,形容詞,名詞,一般,*,*,形容詞,38
29,2,相手,名詞,一般,*,*,相手,38
31,2,意思,名詞,サ変接続,*,*,意思,36
33,2,尋ね,動詞,自立,*,*,尋ねる,31
37,2,誘っ,動詞,自立,*,*,誘う,31
40,2,副詞,名詞,一般,*,*,副詞,38
42,2,復習,名詞,サ変接続,*,*,復習,36
43,3,テスト,名詞,サ変接続,*,*,テスト,36
44,3,テスト,名詞,サ変接続,*,*,テスト,36
45,3,返却,名詞,サ変接続,*,*,返却,36
47,3,解説,名詞,サ変接続,*,*,解説,36
48,3,小,名詞,接尾,一般,*,小,51
49,3,テスト,名詞,サ変接続,*,*,テスト,36
50,3,解説,名詞,サ変接続,*,*,解説,36
52,4,内,名詞,接尾,一般,*,内,51
54,4,指示,名詞,サ変接続,*,*,指示,36
58,5,意思,名詞,サ変接続,*,*,意思,36
60,5,推測,名詞,サ変接続,*,*,推測,36
62,5,表現,名詞,サ変接続,*,*,表現,36
63,5,自分,名詞,一般,*,*,自分,38
65,5,気持ち,名詞,一般,*,*,気持ち,38
67,5,周り,名詞,一般,*,*,周り,38
69,5,様子,名詞,一般,*,*,様子,38
71,5,表現,名詞,サ変接続,*,*,表現,36
73,5,形容詞,名詞,一般,*,*,形容詞,38
74,5,形容詞,名詞,一般,*,*,形容詞,38
77,5,相手,名詞,一般,*,*,相手,38
79,5,意思,名詞,サ変接続,*,*,意思,36
81,5,尋ね,動詞,自立,*,*,尋ねる,31
85,5,誘っ,動詞,自立,*,*,誘う,31
88,5,副詞,名詞,一般,*,*,副詞,38
90,5,復習,名詞,サ変接続,*,*,復習,36
91,6,テスト,名詞,サ変接続,*,*,テスト,36
92,6,テスト,名詞,サ変接続,*,*,テスト,36
93,6,返却,名詞,サ変接続,*,*,返却,36
95,6,解説,名詞,サ変接続,*,*,解説,36
96,6,小,名詞,接尾,一般,*,小,51
97,6,テスト,名詞,サ変接続,*,*,テスト,36
98,6,解説,名詞,サ変接続,*,*,解説,36
100,7,内,名詞,接尾,一般,*,内,51
102,7,指示,名詞,サ変接続,*,*,指示,36
106,8,意思,名詞,サ変接続,*,*,意思,36
108,8,推測,名詞,サ変接続,*,*,推測,36
110,8,表現,名詞,サ変接続,*,*,表現,36
111,8,自分,名詞,一般,*,*,自分,38
113,8,気持ち,名詞,一般,*,*,気持ち,38
115,8,周り,名詞,一般,*,*,周り,38
117,8,様子,名詞,一般,*,*,様子,38
119,8,表現,名詞,サ変接続,*,*,表現,36
121,8,形容詞,名詞,一般,*,*,形容詞,38
122,8,形容詞,名詞,一般,*,*,形容詞,38
125,8,相手,名詞,一般,*,*,相手,38
127,8,意思,名詞,サ変接続,*,*,意思,36
129,8,尋ね,動詞,自立,*,*,尋ねる,31
133,8,誘っ,動詞,自立,*,*,誘う,31
136,8,副詞,名詞,一般,*,*,副詞,38
138,8,復習,名詞,サ変接続,*,*,復習,36
139,9,テスト,名詞,サ変接続,*,*,テスト,36
140,9,テスト,名詞,サ変接続,*,*,テスト,36
141,9,返却,名詞,サ変接続,*,*,返却,36
143,9,解説,名詞,サ変接続,*,*,解説,36
