Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
27,0,概論,名詞,サ変接続,*,*,概論,36
30,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
31,0,概論,名詞,サ変接続,*,*,概論,36
34,0,位相空間論,名詞,固有名詞,一般,*,位相空間論,41
37,0,位相空間論,名詞,固有名詞,一般,*,位相空間論,41
40,0,位相空間論,名詞,固有名詞,一般,*,位相空間論,41
43,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
44,0,概論,名詞,サ変接続,*,*,概論,36
47,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
48,0,概論,名詞,サ変接続,*,*,概論,36
51,0,位相空間論,名詞,固有名詞,一般,*,位相空間論,41
54,0,位相空間論,名詞,固有名詞,一般,*,位相空間論,41
57,0,位相空間論,名詞,固有名詞,一般,*,位相空間論,41
60,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
61,0,概論,名詞,サ変接続,*,*,概論,36
64,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
65,0,概論,名詞,サ変接続,*,*,概論,36
68,0,位相空間論,名詞,固有名詞,一般,*,位相空間論,41
71,0,位相空間論,名詞,固有名詞,一般,*,位相空間論,41
0,0,位相空間論,名詞,固有名詞,一般,*,位相空間論,41
0,0,位相空間論,名詞,固有名詞,一般,*,位相空間論,41
0,0,位相空間論,名詞,固有名詞,一般,*,位相空間論,41
0,0,位相空間論,名詞,固有名詞,一般,*,位相空間論,41
0,0,位相空間論,名詞,固有名詞,一般,*,位相空間論,41
