Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
54,0,基礎,名詞,一般,*,*,基礎,38
56,0,理解,名詞,サ変接続,*,*,理解,36
61,0,具体,名詞,一般,*,*,具体,38
62,0,的,名詞,接尾,形容動詞語幹,*,的,52
64,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
66,0,応用,名詞,サ変接続,*,*,応用,36
67,0,できる,動詞,自立,*,*,できる,31
70,0,なる,動詞,自立,*,*,なる,31
72,0,受講,名詞,サ変接続,*,*,受講,36
73,0,者,名詞,接尾,一般,*,者,51
76,0,数理,名詞,一般,*,*,数理,38
78,0,計算科学,名詞,固有名詞,一般,*,計算科学,41
80,0,登場,名詞,サ変接続,*,*,登場,36
82,0,位相,名詞,一般,*,*,位相,38
83,0,構造,名詞,一般,*,*,構造,38
85,0,扱う,動詞,自立,*,*,扱う,31
86,0,数学,名詞,一般,*,*,数学,38
87,0,的,名詞,接尾,形容動詞語幹,*,的,52
88,0,手法,名詞,一般,*,*,手法,38
90,0,基礎,名詞,一般,*,*,基礎,38
92,0,理解,名詞,サ変接続,*,*,理解,36
97,0,具体,名詞,一般,*,*,具体,38
98,0,的,名詞,接尾,形容動詞語幹,*,的,52
100,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
102,0,応用,名詞,サ変接続,*,*,応用,36
103,0,できる,動詞,自立,*,*,できる,31
106,0,なる,動詞,自立,*,*,なる,31
108,0,受講,名詞,サ変接続,*,*,受講,36
109,0,者,名詞,接尾,一般,*,者,51
112,0,数理,名詞,一般,*,*,数理,38
114,0,計算科学,名詞,固有名詞,一般,*,計算科学,41
116,0,登場,名詞,サ変接続,*,*,登場,36
118,0,位相,名詞,一般,*,*,位相,38
119,0,構造,名詞,一般,*,*,構造,38
121,0,扱う,動詞,自立,*,*,扱う,31
122,0,数学,名詞,一般,*,*,数学,38
123,0,的,名詞,接尾,形容動詞語幹,*,的,52
124,0,手法,名詞,一般,*,*,手法,38
126,0,基礎,名詞,一般,*,*,基礎,38
128,0,理解,名詞,サ変接続,*,*,理解,36
133,0,具体,名詞,一般,*,*,具体,38
134,0,的,名詞,接尾,形容動詞語幹,*,的,52
136,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
138,0,応用,名詞,サ変接続,*,*,応用,36
139,0,できる,動詞,自立,*,*,できる,31
142,0,なる,動詞,自立,*,*,なる,31
144,0,受講,名詞,サ変接続,*,*,受講,36
145,0,者,名詞,接尾,一般,*,者,51
148,0,数理,名詞,一般,*,*,数理,38
150,0,計算科学,名詞,固有名詞,一般,*,計算科学,41
152,0,登場,名詞,サ変接続,*,*,登場,36
154,0,位相,名詞,一般,*,*,位相,38
155,0,構造,名詞,一般,*,*,構造,38
157,0,扱う,動詞,自立,*,*,扱う,31
158,0,数学,名詞,一般,*,*,数学,38
159,0,的,名詞,接尾,形容動詞語幹,*,的,52
160,0,手法,名詞,一般,*,*,手法,38
162,0,基礎,名詞,一般,*,*,基礎,38
164,0,理解,名詞,サ変接続,*,*,理解,36
169,0,具体,名詞,一般,*,*,具体,38
170,0,的,名詞,接尾,形容動詞語幹,*,的,52
172,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
174,0,応用,名詞,サ変接続,*,*,応用,36
175,0,できる,動詞,自立,*,*,できる,31
178,0,なる,動詞,自立,*,*,なる,31
0,0,受講,名詞,サ変接続,*,*,受講,36
1,0,者,名詞,接尾,一般,*,者,51
4,0,数理,名詞,一般,*,*,数理,38
6,0,計算科学,名詞,固有名詞,一般,*,計算科学,41
8,0,登場,名詞,サ変接続,*,*,登場,36
10,0,位相,名詞,一般,*,*,位相,38
11,0,構造,名詞,一般,*,*,構造,38
13,0,扱う,動詞,自立,*,*,扱う,31
14,0,数学,名詞,一般,*,*,数学,38
15,0,的,名詞,接尾,形容動詞語幹,*,的,52
16,0,手法,名詞,一般,*,*,手法,38
18,0,基礎,名詞,一般,*,*,基礎,38
20,0,理解,名詞,サ変接続,*,*,理解,36
25,0,具体,名詞,一般,*,*,具体,38
26,0,的,名詞,接尾,形容動詞語幹,*,的,52
28,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
30,0,応用,名詞,サ変接続,*,*,応用,36
31,0,できる,動詞,自立,*,*,できる,31
34,0,なる,動詞,自立,*,*,なる,31
36,0,受講,名詞,サ変接続,*,*,受講,36
37,0,者,名詞,接尾,一般,*,者,51
40,0,数理,名詞,一般,*,*,数理,38
42,0,計算科学,名詞,固有名詞,一般,*,計算科学,41
44,0,登場,名詞,サ変接続,*,*,登場,36
46,0,位相,名詞,一般,*,*,位相,38
47,0,構造,名詞,一般,*,*,構造,38
49,0,扱う,動詞,自立,*,*,扱う,31
50,0,数学,名詞,一般,*,*,数学,38
51,0,的,名詞,接尾,形容動詞語幹,*,的,52
52,0,手法,名詞,一般,*,*,手法,38
54,0,基礎,名詞,一般,*,*,基礎,38
56,0,理解,名詞,サ変接続,*,*,理解,36
61,0,具体,名詞,一般,*,*,具体,38
62,0,的,名詞,接尾,形容動詞語幹,*,的,52
64,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
66,0,応用,名詞,サ変接続,*,*,応用,36
67,0,できる,動詞,自立,*,*,できる,31
70,0,なる,動詞,自立,*,*,なる,31
72,0,受講,名詞,サ変接続,*,*,受講,36
73,0,者,名詞,接尾,一般,*,者,51
76,0,数理,名詞,一般,*,*,数理,38
78,0,計算科学,名詞,固有名詞,一般,*,計算科学,41
80,0,登場,名詞,サ変接続,*,*,登場,36
82,0,位相,名詞,一般,*,*,位相,38
83,0,構造,名詞,一般,*,*,構造,38
85,0,扱う,動詞,自立,*,*,扱う,31
86,0,数学,名詞,一般,*,*,数学,38
87,0,的,名詞,接尾,形容動詞語幹,*,的,52
88,0,手法,名詞,一般,*,*,手法,38
90,0,基礎,名詞,一般,*,*,基礎,38
92,0,理解,名詞,サ変接続,*,*,理解,36
97,0,具体,名詞,一般,*,*,具体,38
98,0,的,名詞,接尾,形容動詞語幹,*,的,52
100,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
102,0,応用,名詞,サ変接続,*,*,応用,36
103,0,できる,動詞,自立,*,*,できる,31
106,0,なる,動詞,自立,*,*,なる,31
108,0,受講,名詞,サ変接続,*,*,受講,36
109,0,者,名詞,接尾,一般,*,者,51
112,0,数理,名詞,一般,*,*,数理,38
114,0,計算科学,名詞,固有名詞,一般,*,計算科学,41
116,0,登場,名詞,サ変接続,*,*,登場,36
118,0,位相,名詞,一般,*,*,位相,38
119,0,構造,名詞,一般,*,*,構造,38
121,0,扱う,動詞,自立,*,*,扱う,31
122,0,数学,名詞,一般,*,*,数学,38
123,0,的,名詞,接尾,形容動詞語幹,*,的,52
124,0,手法,名詞,一般,*,*,手法,38
126,0,基礎,名詞,一般,*,*,基礎,38
128,0,理解,名詞,サ変接続,*,*,理解,36
133,0,具体,名詞,一般,*,*,具体,38
134,0,的,名詞,接尾,形容動詞語幹,*,的,52
136,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
138,0,応用,名詞,サ変接続,*,*,応用,36
139,0,できる,動詞,自立,*,*,できる,31
142,0,なる,動詞,自立,*,*,なる,31
144,0,受講,名詞,サ変接続,*,*,受講,36
145,0,者,名詞,接尾,一般,*,者,51
148,0,数理,名詞,一般,*,*,数理,38
150,0,計算科学,名詞,固有名詞,一般,*,計算科学,41
152,0,登場,名詞,サ変接続,*,*,登場,36
154,0,位相,名詞,一般,*,*,位相,38
155,0,構造,名詞,一般,*,*,構造,38
157,0,扱う,動詞,自立,*,*,扱う,31
158,0,数学,名詞,一般,*,*,数学,38
159,0,的,名詞,接尾,形容動詞語幹,*,的,52
160,0,手法,名詞,一般,*,*,手法,38
162,0,基礎,名詞,一般,*,*,基礎,38
164,0,理解,名詞,サ変接続,*,*,理解,36
169,0,具体,名詞,一般,*,*,具体,38
170,0,的,名詞,接尾,形容動詞語幹,*,的,52
172,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
174,0,応用,名詞,サ変接続,*,*,応用,36
175,0,できる,動詞,自立,*,*,できる,31
178,0,なる,動詞,自立,*,*,なる,31
0,0,位相,名詞,一般,*,*,位相,38
1,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
2,0,近傍,名詞,一般,*,*,近傍,38
3,0,連続,名詞,サ変接続,*,*,連続,36
4,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
5,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
6,0,連結,名詞,サ変接続,*,*,連結,36
7,0,コンパクト,名詞,一般,*,*,コンパクト,38
8,0,完備,名詞,サ変接続,*,*,完備,36
9,0,位相,名詞,一般,*,*,位相,38
10,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
11,0,近傍,名詞,一般,*,*,近傍,38
12,0,連続,名詞,サ変接続,*,*,連続,36
13,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
14,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
15,0,連結,名詞,サ変接続,*,*,連結,36
16,0,コンパクト,名詞,一般,*,*,コンパクト,38
17,0,完備,名詞,サ変接続,*,*,完備,36
18,0,位相,名詞,一般,*,*,位相,38
19,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
20,0,近傍,名詞,一般,*,*,近傍,38
21,0,連続,名詞,サ変接続,*,*,連続,36
22,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
23,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
24,0,連結,名詞,サ変接続,*,*,連結,36
25,0,コンパクト,名詞,一般,*,*,コンパクト,38
26,0,完備,名詞,サ変接続,*,*,完備,36
27,0,位相,名詞,一般,*,*,位相,38
28,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
29,0,近傍,名詞,一般,*,*,近傍,38
30,0,連続,名詞,サ変接続,*,*,連続,36
31,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
32,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
33,0,連結,名詞,サ変接続,*,*,連結,36
34,0,コンパクト,名詞,一般,*,*,コンパクト,38
35,0,完備,名詞,サ変接続,*,*,完備,36
36,0,位相,名詞,一般,*,*,位相,38
37,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
38,0,近傍,名詞,一般,*,*,近傍,38
39,0,連続,名詞,サ変接続,*,*,連続,36
40,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
41,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
42,0,連結,名詞,サ変接続,*,*,連結,36
43,0,コンパクト,名詞,一般,*,*,コンパクト,38
44,0,完備,名詞,サ変接続,*,*,完備,36
0,0,位相,名詞,一般,*,*,位相,38
1,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
2,0,近傍,名詞,一般,*,*,近傍,38
3,0,連続,名詞,サ変接続,*,*,連続,36
4,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
5,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
6,0,連結,名詞,サ変接続,*,*,連結,36
7,0,コンパクト,名詞,一般,*,*,コンパクト,38
8,0,完備,名詞,サ変接続,*,*,完備,36
9,0,位相,名詞,一般,*,*,位相,38
10,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
11,0,近傍,名詞,一般,*,*,近傍,38
12,0,連続,名詞,サ変接続,*,*,連続,36
13,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
14,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
15,0,連結,名詞,サ変接続,*,*,連結,36
16,0,コンパクト,名詞,一般,*,*,コンパクト,38
17,0,完備,名詞,サ変接続,*,*,完備,36
18,0,位相,名詞,一般,*,*,位相,38
19,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
20,0,近傍,名詞,一般,*,*,近傍,38
21,0,連続,名詞,サ変接続,*,*,連続,36
22,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
23,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
24,0,連結,名詞,サ変接続,*,*,連結,36
25,0,コンパクト,名詞,一般,*,*,コンパクト,38
26,0,完備,名詞,サ変接続,*,*,完備,36
27,0,位相,名詞,一般,*,*,位相,38
28,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
29,0,近傍,名詞,一般,*,*,近傍,38
30,0,連続,名詞,サ変接続,*,*,連続,36
31,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
32,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
33,0,連結,名詞,サ変接続,*,*,連結,36
34,0,コンパクト,名詞,一般,*,*,コンパクト,38
35,0,完備,名詞,サ変接続,*,*,完備,36
36,0,位相,名詞,一般,*,*,位相,38
37,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
38,0,近傍,名詞,一般,*,*,近傍,38
39,0,連続,名詞,サ変接続,*,*,連続,36
40,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
41,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
42,0,連結,名詞,サ変接続,*,*,連結,36
43,0,コンパクト,名詞,一般,*,*,コンパクト,38
44,0,完備,名詞,サ変接続,*,*,完備,36
0,0,位相,名詞,一般,*,*,位相,38
1,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
2,0,近傍,名詞,一般,*,*,近傍,38
3,0,連続,名詞,サ変接続,*,*,連続,36
4,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
5,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
6,0,連結,名詞,サ変接続,*,*,連結,36
7,0,コンパクト,名詞,一般,*,*,コンパクト,38
8,0,完備,名詞,サ変接続,*,*,完備,36
9,0,位相,名詞,一般,*,*,位相,38
10,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
11,0,近傍,名詞,一般,*,*,近傍,38
12,0,連続,名詞,サ変接続,*,*,連続,36
13,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
14,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
15,0,連結,名詞,サ変接続,*,*,連結,36
16,0,コンパクト,名詞,一般,*,*,コンパクト,38
17,0,完備,名詞,サ変接続,*,*,完備,36
18,0,位相,名詞,一般,*,*,位相,38
19,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
20,0,近傍,名詞,一般,*,*,近傍,38
21,0,連続,名詞,サ変接続,*,*,連続,36
22,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
23,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
24,0,連結,名詞,サ変接続,*,*,連結,36
25,0,コンパクト,名詞,一般,*,*,コンパクト,38
26,0,完備,名詞,サ変接続,*,*,完備,36
27,0,位相,名詞,一般,*,*,位相,38
28,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
29,0,近傍,名詞,一般,*,*,近傍,38
30,0,連続,名詞,サ変接続,*,*,連続,36
31,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
32,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
33,0,連結,名詞,サ変接続,*,*,連結,36
34,0,コンパクト,名詞,一般,*,*,コンパクト,38
35,0,完備,名詞,サ変接続,*,*,完備,36
36,0,位相,名詞,一般,*,*,位相,38
37,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
38,0,近傍,名詞,一般,*,*,近傍,38
39,0,連続,名詞,サ変接続,*,*,連続,36
40,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
41,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
42,0,連結,名詞,サ変接続,*,*,連結,36
43,0,コンパクト,名詞,一般,*,*,コンパクト,38
44,0,完備,名詞,サ変接続,*,*,完備,36
0,0,位相,名詞,一般,*,*,位相,38
1,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
2,0,近傍,名詞,一般,*,*,近傍,38
3,0,連続,名詞,サ変接続,*,*,連続,36
4,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
5,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
6,0,連結,名詞,サ変接続,*,*,連結,36
7,0,コンパクト,名詞,一般,*,*,コンパクト,38
8,0,完備,名詞,サ変接続,*,*,完備,36
9,0,位相,名詞,一般,*,*,位相,38
10,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
11,0,近傍,名詞,一般,*,*,近傍,38
12,0,連続,名詞,サ変接続,*,*,連続,36
13,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
14,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
15,0,連結,名詞,サ変接続,*,*,連結,36
16,0,コンパクト,名詞,一般,*,*,コンパクト,38
17,0,完備,名詞,サ変接続,*,*,完備,36
18,0,位相,名詞,一般,*,*,位相,38
19,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
20,0,近傍,名詞,一般,*,*,近傍,38
21,0,連続,名詞,サ変接続,*,*,連続,36
22,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
23,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
24,0,連結,名詞,サ変接続,*,*,連結,36
25,0,コンパクト,名詞,一般,*,*,コンパクト,38
26,0,完備,名詞,サ変接続,*,*,完備,36
27,0,位相,名詞,一般,*,*,位相,38
28,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
29,0,近傍,名詞,一般,*,*,近傍,38
30,0,連続,名詞,サ変接続,*,*,連続,36
31,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
32,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
33,0,連結,名詞,サ変接続,*,*,連結,36
34,0,コンパクト,名詞,一般,*,*,コンパクト,38
35,0,完備,名詞,サ変接続,*,*,完備,36
36,0,位相,名詞,一般,*,*,位相,38
37,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
38,0,近傍,名詞,一般,*,*,近傍,38
39,0,連続,名詞,サ変接続,*,*,連続,36
40,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
41,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
42,0,連結,名詞,サ変接続,*,*,連結,36
43,0,コンパクト,名詞,一般,*,*,コンパクト,38
44,0,完備,名詞,サ変接続,*,*,完備,36
0,0,位相,名詞,一般,*,*,位相,38
1,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
2,0,近傍,名詞,一般,*,*,近傍,38
3,0,連続,名詞,サ変接続,*,*,連続,36
4,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
5,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
6,0,連結,名詞,サ変接続,*,*,連結,36
7,0,コンパクト,名詞,一般,*,*,コンパクト,38
8,0,完備,名詞,サ変接続,*,*,完備,36
9,0,位相,名詞,一般,*,*,位相,38
10,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
11,0,近傍,名詞,一般,*,*,近傍,38
12,0,連続,名詞,サ変接続,*,*,連続,36
13,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
14,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
15,0,連結,名詞,サ変接続,*,*,連結,36
16,0,コンパクト,名詞,一般,*,*,コンパクト,38
17,0,完備,名詞,サ変接続,*,*,完備,36
18,0,位相,名詞,一般,*,*,位相,38
19,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
20,0,近傍,名詞,一般,*,*,近傍,38
21,0,連続,名詞,サ変接続,*,*,連続,36
22,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
23,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
24,0,連結,名詞,サ変接続,*,*,連結,36
25,0,コンパクト,名詞,一般,*,*,コンパクト,38
26,0,完備,名詞,サ変接続,*,*,完備,36
27,0,位相,名詞,一般,*,*,位相,38
28,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
29,0,近傍,名詞,一般,*,*,近傍,38
30,0,連続,名詞,サ変接続,*,*,連続,36
31,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
32,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
33,0,連結,名詞,サ変接続,*,*,連結,36
34,0,コンパクト,名詞,一般,*,*,コンパクト,38
35,0,完備,名詞,サ変接続,*,*,完備,36
36,0,位相,名詞,一般,*,*,位相,38
37,0,位相空間,名詞,固有名詞,一般,*,位相空間,41
38,0,近傍,名詞,一般,*,*,近傍,38
39,0,連続,名詞,サ変接続,*,*,連続,36
40,0,ハウスドルフ空間,名詞,固有名詞,一般,*,ハウスドルフ空間,41
41,0,分離公理,名詞,固有名詞,一般,*,分離公理,41
42,0,連結,名詞,サ変接続,*,*,連結,36
43,0,コンパクト,名詞,一般,*,*,コンパクト,38
44,0,完備,名詞,サ変接続,*,*,完備,36
0,0,集合,名詞,サ変接続,*,*,集合,36
2,0,位相,名詞,一般,*,*,位相,38
5,0,集合,名詞,サ変接続,*,*,集合,36
7,0,位相,名詞,一般,*,*,位相,38
10,0,演習,名詞,サ変接続,*,*,演習,36
11,0,集合,名詞,サ変接続,*,*,集合,36
13,0,位相,名詞,一般,*,*,位相,38
16,0,演習,名詞,サ変接続,*,*,演習,36
17,0,集合,名詞,サ変接続,*,*,集合,36
19,0,位相,名詞,一般,*,*,位相,38
22,0,集合,名詞,サ変接続,*,*,集合,36
24,0,位相,名詞,一般,*,*,位相,38
27,0,演習,名詞,サ変接続,*,*,演習,36
28,0,集合,名詞,サ変接続,*,*,集合,36
30,0,位相,名詞,一般,*,*,位相,38
33,0,演習,名詞,サ変接続,*,*,演習,36
34,0,集合,名詞,サ変接続,*,*,集合,36
36,0,位相,名詞,一般,*,*,位相,38
39,0,集合,名詞,サ変接続,*,*,集合,36
41,0,位相,名詞,一般,*,*,位相,38
44,0,演習,名詞,サ変接続,*,*,演習,36
45,0,集合,名詞,サ変接続,*,*,集合,36
47,0,位相,名詞,一般,*,*,位相,38
50,0,演習,名詞,サ変接続,*,*,演習,36
51,0,集合,名詞,サ変接続,*,*,集合,36
53,0,位相,名詞,一般,*,*,位相,38
56,0,集合,名詞,サ変接続,*,*,集合,36
58,0,位相,名詞,一般,*,*,位相,38
61,0,演習,名詞,サ変接続,*,*,演習,36
62,0,集合,名詞,サ変接続,*,*,集合,36
64,0,位相,名詞,一般,*,*,位相,38
67,0,演習,名詞,サ変接続,*,*,演習,36
68,0,集合,名詞,サ変接続,*,*,集合,36
70,0,位相,名詞,一般,*,*,位相,38
73,0,集合,名詞,サ変接続,*,*,集合,36
75,0,位相,名詞,一般,*,*,位相,38
78,0,演習,名詞,サ変接続,*,*,演習,36
79,0,集合,名詞,サ変接続,*,*,集合,36
81,0,位相,名詞,一般,*,*,位相,38
84,0,演習,名詞,サ変接続,*,*,演習,36
0,0,集合,名詞,サ変接続,*,*,集合,36
2,0,位相,名詞,一般,*,*,位相,38
5,0,集合,名詞,サ変接続,*,*,集合,36
7,0,位相,名詞,一般,*,*,位相,38
10,0,集合,名詞,サ変接続,*,*,集合,36
12,0,位相,名詞,一般,*,*,位相,38
15,0,集合,名詞,サ変接続,*,*,集合,36
17,0,位相,名詞,一般,*,*,位相,38
20,0,集合,名詞,サ変接続,*,*,集合,36
22,0,位相,名詞,一般,*,*,位相,38
0,0,集合,名詞,サ変接続,*,*,集合,36
2,0,位相,名詞,一般,*,*,位相,38
5,0,集合,名詞,サ変接続,*,*,集合,36
7,0,位相,名詞,一般,*,*,位相,38
10,0,集合,名詞,サ変接続,*,*,集合,36
12,0,位相,名詞,一般,*,*,位相,38
15,0,集合,名詞,サ変接続,*,*,集合,36
17,0,位相,名詞,一般,*,*,位相,38
20,0,集合,名詞,サ変接続,*,*,集合,36
22,0,位相,名詞,一般,*,*,位相,38
0,0,集合,名詞,サ変接続,*,*,集合,36
2,0,位相,名詞,一般,*,*,位相,38
5,0,集合,名詞,サ変接続,*,*,集合,36
7,0,位相,名詞,一般,*,*,位相,38
10,0,集合,名詞,サ変接続,*,*,集合,36
12,0,位相,名詞,一般,*,*,位相,38
15,0,集合,名詞,サ変接続,*,*,集合,36
17,0,位相,名詞,一般,*,*,位相,38
20,0,集合,名詞,サ変接続,*,*,集合,36
22,0,位相,名詞,一般,*,*,位相,38
0,0,集合,名詞,サ変接続,*,*,集合,36
2,0,位相,名詞,一般,*,*,位相,38
5,0,集合,名詞,サ変接続,*,*,集合,36
7,0,位相,名詞,一般,*,*,位相,38
10,0,集合,名詞,サ変接続,*,*,集合,36
12,0,位相,名詞,一般,*,*,位相,38
15,0,集合,名詞,サ変接続,*,*,集合,36
