Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
167,0,解説,名詞,サ変接続,*,*,解説,36
173,0,酸化,名詞,サ変接続,*,*,酸化,36
175,0,還元,名詞,サ変接続,*,*,還元,36
176,0,反応,名詞,サ変接続,*,*,反応,36
180,0,基本,名詞,一般,*,*,基本,38
181,0,的,名詞,接尾,形容動詞語幹,*,的,52
183,0,事項,名詞,一般,*,*,事項,38
187,0,合成,名詞,サ変接続,*,*,合成,36
188,0,反応,名詞,サ変接続,*,*,反応,36
191,0,利用,名詞,サ変接続,*,*,利用,36
192,0,法,名詞,接尾,一般,*,法,51
195,0,深く,形容詞,自立,*,*,深い,10
196,0,理解,名詞,サ変接続,*,*,理解,36
197,0,できる,動詞,自立,*,*,できる,31
199,0,同時に,副詞,一般,*,*,同時に,34
204,0,学ん,動詞,自立,*,*,学ぶ,31
208,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
210,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
211,0,知識,名詞,一般,*,*,知識,38
213,0,再確認,名詞,固有名詞,一般,*,再確認,41
217,0,深く,形容詞,自立,*,*,深い,10
218,0,理解,名詞,サ変接続,*,*,理解,36
222,0,できる,動詞,自立,*,*,できる,31
225,0,有機,名詞,一般,*,*,有機,38
226,0,化合,名詞,サ変接続,*,*,化合,36
227,0,物,名詞,接尾,一般,*,物,51
229,0,合成,名詞,サ変接続,*,*,合成,36
231,0,必要,名詞,形容動詞語幹,*,*,必要,40
232,0,不可欠,名詞,形容動詞語幹,*,*,不可欠,40
239,0,単発,名詞,一般,*,*,単発,38
240,0,的,名詞,接尾,形容動詞語幹,*,的,52
242,0,解説,名詞,サ変接続,*,*,解説,36
248,0,酸化,名詞,サ変接続,*,*,酸化,36
250,0,還元,名詞,サ変接続,*,*,還元,36
251,0,反応,名詞,サ変接続,*,*,反応,36
255,0,基本,名詞,一般,*,*,基本,38
256,0,的,名詞,接尾,形容動詞語幹,*,的,52
258,0,事項,名詞,一般,*,*,事項,38
262,0,合成,名詞,サ変接続,*,*,合成,36
263,0,反応,名詞,サ変接続,*,*,反応,36
266,0,利用,名詞,サ変接続,*,*,利用,36
267,0,法,名詞,接尾,一般,*,法,51
270,0,深く,形容詞,自立,*,*,深い,10
271,0,理解,名詞,サ変接続,*,*,理解,36
272,0,できる,動詞,自立,*,*,できる,31
274,0,同時に,副詞,一般,*,*,同時に,34
279,0,学ん,動詞,自立,*,*,学ぶ,31
283,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
285,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
286,0,知識,名詞,一般,*,*,知識,38
288,0,再確認,名詞,固有名詞,一般,*,再確認,41
292,0,深く,形容詞,自立,*,*,深い,10
293,0,理解,名詞,サ変接続,*,*,理解,36
297,0,できる,動詞,自立,*,*,できる,31
300,0,有機,名詞,一般,*,*,有機,38
301,0,化合,名詞,サ変接続,*,*,化合,36
302,0,物,名詞,接尾,一般,*,物,51
304,0,合成,名詞,サ変接続,*,*,合成,36
306,0,必要,名詞,形容動詞語幹,*,*,必要,40
307,0,不可欠,名詞,形容動詞語幹,*,*,不可欠,40
314,0,単発,名詞,一般,*,*,単発,38
315,0,的,名詞,接尾,形容動詞語幹,*,的,52
317,0,解説,名詞,サ変接続,*,*,解説,36
323,0,酸化,名詞,サ変接続,*,*,酸化,36
325,0,還元,名詞,サ変接続,*,*,還元,36
326,0,反応,名詞,サ変接続,*,*,反応,36
330,0,基本,名詞,一般,*,*,基本,38
331,0,的,名詞,接尾,形容動詞語幹,*,的,52
333,0,事項,名詞,一般,*,*,事項,38
337,0,合成,名詞,サ変接続,*,*,合成,36
338,0,反応,名詞,サ変接続,*,*,反応,36
341,0,利用,名詞,サ変接続,*,*,利用,36
342,0,法,名詞,接尾,一般,*,法,51
345,0,深く,形容詞,自立,*,*,深い,10
346,0,理解,名詞,サ変接続,*,*,理解,36
347,0,できる,動詞,自立,*,*,できる,31
349,0,同時に,副詞,一般,*,*,同時に,34
354,0,学ん,動詞,自立,*,*,学ぶ,31
358,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
360,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
361,0,知識,名詞,一般,*,*,知識,38
363,0,再確認,名詞,固有名詞,一般,*,再確認,41
367,0,深く,形容詞,自立,*,*,深い,10
368,0,理解,名詞,サ変接続,*,*,理解,36
372,0,できる,動詞,自立,*,*,できる,31
0,0,有機,名詞,一般,*,*,有機,38
1,0,化合,名詞,サ変接続,*,*,化合,36
2,0,物,名詞,接尾,一般,*,物,51
4,0,合成,名詞,サ変接続,*,*,合成,36
6,0,必要,名詞,形容動詞語幹,*,*,必要,40
7,0,不可欠,名詞,形容動詞語幹,*,*,不可欠,40
14,0,単発,名詞,一般,*,*,単発,38
15,0,的,名詞,接尾,形容動詞語幹,*,的,52
17,0,解説,名詞,サ変接続,*,*,解説,36
23,0,酸化,名詞,サ変接続,*,*,酸化,36
25,0,還元,名詞,サ変接続,*,*,還元,36
26,0,反応,名詞,サ変接続,*,*,反応,36
30,0,基本,名詞,一般,*,*,基本,38
31,0,的,名詞,接尾,形容動詞語幹,*,的,52
33,0,事項,名詞,一般,*,*,事項,38
37,0,合成,名詞,サ変接続,*,*,合成,36
38,0,反応,名詞,サ変接続,*,*,反応,36
41,0,利用,名詞,サ変接続,*,*,利用,36
42,0,法,名詞,接尾,一般,*,法,51
45,0,深く,形容詞,自立,*,*,深い,10
46,0,理解,名詞,サ変接続,*,*,理解,36
47,0,できる,動詞,自立,*,*,できる,31
49,0,同時に,副詞,一般,*,*,同時に,34
54,0,学ん,動詞,自立,*,*,学ぶ,31
58,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
60,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
61,0,知識,名詞,一般,*,*,知識,38
63,0,再確認,名詞,固有名詞,一般,*,再確認,41
67,0,深く,形容詞,自立,*,*,深い,10
68,0,理解,名詞,サ変接続,*,*,理解,36
72,0,できる,動詞,自立,*,*,できる,31
75,0,有機,名詞,一般,*,*,有機,38
76,0,化合,名詞,サ変接続,*,*,化合,36
77,0,物,名詞,接尾,一般,*,物,51
79,0,合成,名詞,サ変接続,*,*,合成,36
81,0,必要,名詞,形容動詞語幹,*,*,必要,40
82,0,不可欠,名詞,形容動詞語幹,*,*,不可欠,40
89,0,単発,名詞,一般,*,*,単発,38
90,0,的,名詞,接尾,形容動詞語幹,*,的,52
92,0,解説,名詞,サ変接続,*,*,解説,36
98,0,酸化,名詞,サ変接続,*,*,酸化,36
100,0,還元,名詞,サ変接続,*,*,還元,36
101,0,反応,名詞,サ変接続,*,*,反応,36
105,0,基本,名詞,一般,*,*,基本,38
106,0,的,名詞,接尾,形容動詞語幹,*,的,52
108,0,事項,名詞,一般,*,*,事項,38
112,0,合成,名詞,サ変接続,*,*,合成,36
113,0,反応,名詞,サ変接続,*,*,反応,36
116,0,利用,名詞,サ変接続,*,*,利用,36
117,0,法,名詞,接尾,一般,*,法,51
120,0,深く,形容詞,自立,*,*,深い,10
121,0,理解,名詞,サ変接続,*,*,理解,36
122,0,できる,動詞,自立,*,*,できる,31
124,0,同時に,副詞,一般,*,*,同時に,34
129,0,学ん,動詞,自立,*,*,学ぶ,31
133,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
135,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
136,0,知識,名詞,一般,*,*,知識,38
138,0,再確認,名詞,固有名詞,一般,*,再確認,41
142,0,深く,形容詞,自立,*,*,深い,10
143,0,理解,名詞,サ変接続,*,*,理解,36
147,0,できる,動詞,自立,*,*,できる,31
150,0,有機,名詞,一般,*,*,有機,38
151,0,化合,名詞,サ変接続,*,*,化合,36
152,0,物,名詞,接尾,一般,*,物,51
154,0,合成,名詞,サ変接続,*,*,合成,36
156,0,必要,名詞,形容動詞語幹,*,*,必要,40
157,0,不可欠,名詞,形容動詞語幹,*,*,不可欠,40
164,0,単発,名詞,一般,*,*,単発,38
165,0,的,名詞,接尾,形容動詞語幹,*,的,52
167,0,解説,名詞,サ変接続,*,*,解説,36
173,0,酸化,名詞,サ変接続,*,*,酸化,36
175,0,還元,名詞,サ変接続,*,*,還元,36
176,0,反応,名詞,サ変接続,*,*,反応,36
180,0,基本,名詞,一般,*,*,基本,38
181,0,的,名詞,接尾,形容動詞語幹,*,的,52
183,0,事項,名詞,一般,*,*,事項,38
187,0,合成,名詞,サ変接続,*,*,合成,36
188,0,反応,名詞,サ変接続,*,*,反応,36
191,0,利用,名詞,サ変接続,*,*,利用,36
192,0,法,名詞,接尾,一般,*,法,51
195,0,深く,形容詞,自立,*,*,深い,10
196,0,理解,名詞,サ変接続,*,*,理解,36
197,0,できる,動詞,自立,*,*,できる,31
199,0,同時に,副詞,一般,*,*,同時に,34
204,0,学ん,動詞,自立,*,*,学ぶ,31
208,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
210,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
211,0,知識,名詞,一般,*,*,知識,38
213,0,再確認,名詞,固有名詞,一般,*,再確認,41
217,0,深く,形容詞,自立,*,*,深い,10
218,0,理解,名詞,サ変接続,*,*,理解,36
222,0,できる,動詞,自立,*,*,できる,31
225,0,有機,名詞,一般,*,*,有機,38
226,0,化合,名詞,サ変接続,*,*,化合,36
227,0,物,名詞,接尾,一般,*,物,51
229,0,合成,名詞,サ変接続,*,*,合成,36
231,0,必要,名詞,形容動詞語幹,*,*,必要,40
232,0,不可欠,名詞,形容動詞語幹,*,*,不可欠,40
239,0,単発,名詞,一般,*,*,単発,38
240,0,的,名詞,接尾,形容動詞語幹,*,的,52
242,0,解説,名詞,サ変接続,*,*,解説,36
248,0,酸化,名詞,サ変接続,*,*,酸化,36
250,0,還元,名詞,サ変接続,*,*,還元,36
251,0,反応,名詞,サ変接続,*,*,反応,36
255,0,基本,名詞,一般,*,*,基本,38
256,0,的,名詞,接尾,形容動詞語幹,*,的,52
258,0,事項,名詞,一般,*,*,事項,38
262,0,合成,名詞,サ変接続,*,*,合成,36
263,0,反応,名詞,サ変接続,*,*,反応,36
266,0,利用,名詞,サ変接続,*,*,利用,36
267,0,法,名詞,接尾,一般,*,法,51
270,0,深く,形容詞,自立,*,*,深い,10
271,0,理解,名詞,サ変接続,*,*,理解,36
272,0,できる,動詞,自立,*,*,できる,31
274,0,同時に,副詞,一般,*,*,同時に,34
279,0,学ん,動詞,自立,*,*,学ぶ,31
283,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
285,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
286,0,知識,名詞,一般,*,*,知識,38
288,0,再確認,名詞,固有名詞,一般,*,再確認,41
292,0,深く,形容詞,自立,*,*,深い,10
293,0,理解,名詞,サ変接続,*,*,理解,36
297,0,できる,動詞,自立,*,*,できる,31
300,0,有機,名詞,一般,*,*,有機,38
301,0,化合,名詞,サ変接続,*,*,化合,36
302,0,物,名詞,接尾,一般,*,物,51
304,0,合成,名詞,サ変接続,*,*,合成,36
306,0,必要,名詞,形容動詞語幹,*,*,必要,40
307,0,不可欠,名詞,形容動詞語幹,*,*,不可欠,40
314,0,単発,名詞,一般,*,*,単発,38
315,0,的,名詞,接尾,形容動詞語幹,*,的,52
317,0,解説,名詞,サ変接続,*,*,解説,36
323,0,酸化,名詞,サ変接続,*,*,酸化,36
325,0,還元,名詞,サ変接続,*,*,還元,36
326,0,反応,名詞,サ変接続,*,*,反応,36
330,0,基本,名詞,一般,*,*,基本,38
331,0,的,名詞,接尾,形容動詞語幹,*,的,52
333,0,事項,名詞,一般,*,*,事項,38
337,0,合成,名詞,サ変接続,*,*,合成,36
338,0,反応,名詞,サ変接続,*,*,反応,36
341,0,利用,名詞,サ変接続,*,*,利用,36
342,0,法,名詞,接尾,一般,*,法,51
345,0,深く,形容詞,自立,*,*,深い,10
346,0,理解,名詞,サ変接続,*,*,理解,36
347,0,できる,動詞,自立,*,*,できる,31
349,0,同時に,副詞,一般,*,*,同時に,34
354,0,学ん,動詞,自立,*,*,学ぶ,31
358,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
360,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
361,0,知識,名詞,一般,*,*,知識,38
363,0,再確認,名詞,固有名詞,一般,*,再確認,41
367,0,深く,形容詞,自立,*,*,深い,10
368,0,理解,名詞,サ変接続,*,*,理解,36
372,0,できる,動詞,自立,*,*,できる,31
0,0,酸化,名詞,サ変接続,*,*,酸化,36
1,0,反応,名詞,サ変接続,*,*,反応,36
2,0,還元,名詞,サ変接続,*,*,還元,36
3,0,反応,名詞,サ変接続,*,*,反応,36
4,0,酸化,名詞,サ変接続,*,*,酸化,36
5,0,反応,名詞,サ変接続,*,*,反応,36
6,0,還元,名詞,サ変接続,*,*,還元,36
7,0,反応,名詞,サ変接続,*,*,反応,36
8,0,酸化,名詞,サ変接続,*,*,酸化,36
9,0,反応,名詞,サ変接続,*,*,反応,36
10,0,還元,名詞,サ変接続,*,*,還元,36
11,0,反応,名詞,サ変接続,*,*,反応,36
12,0,酸化,名詞,サ変接続,*,*,酸化,36
13,0,反応,名詞,サ変接続,*,*,反応,36
14,0,還元,名詞,サ変接続,*,*,還元,36
15,0,反応,名詞,サ変接続,*,*,反応,36
16,0,酸化,名詞,サ変接続,*,*,酸化,36
17,0,反応,名詞,サ変接続,*,*,反応,36
18,0,還元,名詞,サ変接続,*,*,還元,36
19,0,反応,名詞,サ変接続,*,*,反応,36
0,0,酸化,名詞,サ変接続,*,*,酸化,36
1,0,反応,名詞,サ変接続,*,*,反応,36
2,0,還元,名詞,サ変接続,*,*,還元,36
3,0,反応,名詞,サ変接続,*,*,反応,36
4,0,酸化,名詞,サ変接続,*,*,酸化,36
5,0,反応,名詞,サ変接続,*,*,反応,36
6,0,還元,名詞,サ変接続,*,*,還元,36
7,0,反応,名詞,サ変接続,*,*,反応,36
8,0,酸化,名詞,サ変接続,*,*,酸化,36
9,0,反応,名詞,サ変接続,*,*,反応,36
10,0,還元,名詞,サ変接続,*,*,還元,36
11,0,反応,名詞,サ変接続,*,*,反応,36
12,0,酸化,名詞,サ変接続,*,*,酸化,36
13,0,反応,名詞,サ変接続,*,*,反応,36
14,0,還元,名詞,サ変接続,*,*,還元,36
15,0,反応,名詞,サ変接続,*,*,反応,36
16,0,酸化,名詞,サ変接続,*,*,酸化,36
17,0,反応,名詞,サ変接続,*,*,反応,36
18,0,還元,名詞,サ変接続,*,*,還元,36
19,0,反応,名詞,サ変接続,*,*,反応,36
0,0,酸化,名詞,サ変接続,*,*,酸化,36
1,0,反応,名詞,サ変接続,*,*,反応,36
2,0,還元,名詞,サ変接続,*,*,還元,36
3,0,反応,名詞,サ変接続,*,*,反応,36
4,0,酸化,名詞,サ変接続,*,*,酸化,36
5,0,反応,名詞,サ変接続,*,*,反応,36
6,0,還元,名詞,サ変接続,*,*,還元,36
7,0,反応,名詞,サ変接続,*,*,反応,36
8,0,酸化,名詞,サ変接続,*,*,酸化,36
9,0,反応,名詞,サ変接続,*,*,反応,36
10,0,還元,名詞,サ変接続,*,*,還元,36
11,0,反応,名詞,サ変接続,*,*,反応,36
12,0,酸化,名詞,サ変接続,*,*,酸化,36
13,0,反応,名詞,サ変接続,*,*,反応,36
14,0,還元,名詞,サ変接続,*,*,還元,36
15,0,反応,名詞,サ変接続,*,*,反応,36
16,0,酸化,名詞,サ変接続,*,*,酸化,36
17,0,反応,名詞,サ変接続,*,*,反応,36
18,0,還元,名詞,サ変接続,*,*,還元,36
19,0,反応,名詞,サ変接続,*,*,反応,36
0,0,酸化,名詞,サ変接続,*,*,酸化,36
1,0,反応,名詞,サ変接続,*,*,反応,36
2,0,還元,名詞,サ変接続,*,*,還元,36
3,0,反応,名詞,サ変接続,*,*,反応,36
4,0,酸化,名詞,サ変接続,*,*,酸化,36
5,0,反応,名詞,サ変接続,*,*,反応,36
6,0,還元,名詞,サ変接続,*,*,還元,36
7,0,反応,名詞,サ変接続,*,*,反応,36
8,0,酸化,名詞,サ変接続,*,*,酸化,36
9,0,反応,名詞,サ変接続,*,*,反応,36
10,0,還元,名詞,サ変接続,*,*,還元,36
11,0,反応,名詞,サ変接続,*,*,反応,36
12,0,酸化,名詞,サ変接続,*,*,酸化,36
13,0,反応,名詞,サ変接続,*,*,反応,36
14,0,還元,名詞,サ変接続,*,*,還元,36
15,0,反応,名詞,サ変接続,*,*,反応,36
16,0,酸化,名詞,サ変接続,*,*,酸化,36
17,0,反応,名詞,サ変接続,*,*,反応,36
18,0,還元,名詞,サ変接続,*,*,還元,36
19,0,反応,名詞,サ変接続,*,*,反応,36
0,0,酸化,名詞,サ変接続,*,*,酸化,36
1,0,反応,名詞,サ変接続,*,*,反応,36
2,0,還元,名詞,サ変接続,*,*,還元,36
3,0,反応,名詞,サ変接続,*,*,反応,36
4,0,酸化,名詞,サ変接続,*,*,酸化,36
5,0,反応,名詞,サ変接続,*,*,反応,36
6,0,還元,名詞,サ変接続,*,*,還元,36
7,0,反応,名詞,サ変接続,*,*,反応,36
8,0,酸化,名詞,サ変接続,*,*,酸化,36
9,0,反応,名詞,サ変接続,*,*,反応,36
10,0,還元,名詞,サ変接続,*,*,還元,36
11,0,反応,名詞,サ変接続,*,*,反応,36
12,0,酸化,名詞,サ変接続,*,*,酸化,36
13,0,反応,名詞,サ変接続,*,*,反応,36
14,0,還元,名詞,サ変接続,*,*,還元,36
15,0,反応,名詞,サ変接続,*,*,反応,36
16,0,酸化,名詞,サ変接続,*,*,酸化,36
17,0,反応,名詞,サ変接続,*,*,反応,36
18,0,還元,名詞,サ変接続,*,*,還元,36
19,0,反応,名詞,サ変接続,*,*,反応,36
0,0,合成,名詞,サ変接続,*,*,合成,36
1,0,有機,名詞,一般,*,*,有機,38
2,0,化学合成,名詞,固有名詞,一般,*,化学合成,41
3,0,有機,名詞,一般,*,*,有機,38
4,0,化学合成,名詞,固有名詞,一般,*,化学合成,41
5,0,有機,名詞,一般,*,*,有機,38
6,0,化学合成,名詞,固有名詞,一般,*,化学合成,41
7,0,有機,名詞,一般,*,*,有機,38
8,0,化学合成,名詞,固有名詞,一般,*,化学合成,41
9,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
0,0,有機,名詞,一般,*,*,有機,38
1,0,反応,名詞,サ変接続,*,*,反応,36
2,0,論,名詞,接尾,一般,*,論,51
3,0,有機,名詞,一般,*,*,有機,38
4,0,反応,名詞,サ変接続,*,*,反応,36
5,0,論,名詞,接尾,一般,*,論,51
6,0,有機,名詞,一般,*,*,有機,38
7,0,反応,名詞,サ変接続,*,*,反応,36
8,0,論,名詞,接尾,一般,*,論,51
9,0,有機,名詞,一般,*,*,有機,38
10,0,反応,名詞,サ変接続,*,*,反応,36
11,0,論,名詞,接尾,一般,*,論,51
12,0,有機,名詞,一般,*,*,有機,38
13,0,反応,名詞,サ変接続,*,*,反応,36
14,0,論,名詞,接尾,一般,*,論,51
0,0,有機,名詞,一般,*,*,有機,38
1,0,反応,名詞,サ変接続,*,*,反応,36
2,0,論,名詞,接尾,一般,*,論,51
3,0,有機,名詞,一般,*,*,有機,38
4,0,反応,名詞,サ変接続,*,*,反応,36
5,0,論,名詞,接尾,一般,*,論,51
6,0,有機,名詞,一般,*,*,有機,38
7,0,反応,名詞,サ変接続,*,*,反応,36
8,0,論,名詞,接尾,一般,*,論,51
9,0,有機,名詞,一般,*,*,有機,38
10,0,反応,名詞,サ変接続,*,*,反応,36
11,0,論,名詞,接尾,一般,*,論,51
12,0,有機,名詞,一般,*,*,有機,38
13,0,反応,名詞,サ変接続,*,*,反応,36
14,0,論,名詞,接尾,一般,*,論,51
0,0,有機,名詞,一般,*,*,有機,38
1,0,反応,名詞,サ変接続,*,*,反応,36
2,0,論,名詞,接尾,一般,*,論,51
3,0,有機,名詞,一般,*,*,有機,38
4,0,反応,名詞,サ変接続,*,*,反応,36
5,0,論,名詞,接尾,一般,*,論,51
6,0,有機,名詞,一般,*,*,有機,38
7,0,反応,名詞,サ変接続,*,*,反応,36
8,0,論,名詞,接尾,一般,*,論,51
9,0,有機,名詞,一般,*,*,有機,38
10,0,反応,名詞,サ変接続,*,*,反応,36
11,0,論,名詞,接尾,一般,*,論,51
12,0,有機,名詞,一般,*,*,有機,38
13,0,反応,名詞,サ変接続,*,*,反応,36
14,0,論,名詞,接尾,一般,*,論,51
0,0,有機,名詞,一般,*,*,有機,38
1,0,反応,名詞,サ変接続,*,*,反応,36
2,0,論,名詞,接尾,一般,*,論,51
3,0,有機,名詞,一般,*,*,有機,38
4,0,反応,名詞,サ変接続,*,*,反応,36
5,0,論,名詞,接尾,一般,*,論,51
6,0,有機,名詞,一般,*,*,有機,38
7,0,反応,名詞,サ変接続,*,*,反応,36
8,0,論,名詞,接尾,一般,*,論,51
9,0,有機,名詞,一般,*,*,有機,38
10,0,反応,名詞,サ変接続,*,*,反応,36
11,0,論,名詞,接尾,一般,*,論,51
12,0,有機,名詞,一般,*,*,有機,38
13,0,反応,名詞,サ変接続,*,*,反応,36
14,0,論,名詞,接尾,一般,*,論,51
0,0,有機,名詞,一般,*,*,有機,38
1,0,反応,名詞,サ変接続,*,*,反応,36
2,0,論,名詞,接尾,一般,*,論,51
3,0,有機,名詞,一般,*,*,有機,38
4,0,反応,名詞,サ変接続,*,*,反応,36
5,0,論,名詞,接尾,一般,*,論,51
6,0,有機,名詞,一般,*,*,有機,38
7,0,反応,名詞,サ変接続,*,*,反応,36
8,0,論,名詞,接尾,一般,*,論,51
9,0,有機,名詞,一般,*,*,有機,38
10,0,反応,名詞,サ変接続,*,*,反応,36
11,0,論,名詞,接尾,一般,*,論,51
12,0,有機,名詞,一般,*,*,有機,38
13,0,反応,名詞,サ変接続,*,*,反応,36
14,0,論,名詞,接尾,一般,*,論,51
0,0,有機,名詞,一般,*,*,有機,38
1,0,反応,名詞,サ変接続,*,*,反応,36
2,0,論,名詞,接尾,一般,*,論,51
3,0,有機,名詞,一般,*,*,有機,38
4,0,反応,名詞,サ変接続,*,*,反応,36
5,0,論,名詞,接尾,一般,*,論,51
6,0,有機,名詞,一般,*,*,有機,38
7,0,反応,名詞,サ変接続,*,*,反応,36
8,0,論,名詞,接尾,一般,*,論,51
9,0,有機,名詞,一般,*,*,有機,38
10,0,反応,名詞,サ変接続,*,*,反応,36
11,0,論,名詞,接尾,一般,*,論,51
12,0,有機,名詞,一般,*,*,有機,38
13,0,反応,名詞,サ変接続,*,*,反応,36
14,0,論,名詞,接尾,一般,*,論,51
0,0,有機,名詞,一般,*,*,有機,38
1,0,反応,名詞,サ変接続,*,*,反応,36
2,0,論,名詞,接尾,一般,*,論,51
3,0,有機,名詞,一般,*,*,有機,38
4,0,反応,名詞,サ変接続,*,*,反応,36
5,0,論,名詞,接尾,一般,*,論,51
6,0,有機,名詞,一般,*,*,有機,38
7,0,反応,名詞,サ変接続,*,*,反応,36
8,0,論,名詞,接尾,一般,*,論,51
9,0,有機,名詞,一般,*,*,有機,38
10,0,反応,名詞,サ変接続,*,*,反応,36
11,0,論,名詞,接尾,一般,*,論,51
12,0,有機,名詞,一般,*,*,有機,38
13,0,反応,名詞,サ変接続,*,*,反応,36
14,0,論,名詞,接尾,一般,*,論,51
0,0,酸化,名詞,サ変接続,*,*,酸化,36
1,0,反応,名詞,サ変接続,*,*,反応,36
2,0,概論,名詞,サ変接続,*,*,概論,36
6,0,酸化,名詞,サ変接続,*,*,酸化,36
7,0,反応,名詞,サ変接続,*,*,反応,36
11,0,課す,動詞,自立,*,*,課す,31
14,0,ある,動詞,自立,*,*,ある,31
15,0,クロム,名詞,一般,*,*,クロム,38
16,0,反応,名詞,サ変接続,*,*,反応,36
17,0,剤,名詞,接尾,一般,*,剤,51
19,0,用いる,動詞,自立,*,*,用いる,31
20,0,酸化,名詞,サ変接続,*,*,酸化,36
21,0,反応,名詞,サ変接続,*,*,反応,36
25,0,クロム,名詞,一般,*,*,クロム,38
26,0,反応,名詞,サ変接続,*,*,反応,36
27,0,剤,名詞,接尾,一般,*,剤,51
29,0,用いる,動詞,自立,*,*,用いる,31
30,0,酸化,名詞,サ変接続,*,*,酸化,36
31,0,反応,名詞,サ変接続,*,*,反応,36
35,0,課す,動詞,自立,*,*,課す,31
38,0,ある,動詞,自立,*,*,ある,31
39,0,マンガン,名詞,一般,*,*,マンガン,38
40,0,反応,名詞,サ変接続,*,*,反応,36
41,0,剤,名詞,接尾,一般,*,剤,51
43,0,用いる,動詞,自立,*,*,用いる,31
44,0,酸化,名詞,サ変接続,*,*,酸化,36
45,0,反応,名詞,サ変接続,*,*,反応,36
49,0,マンガン,名詞,一般,*,*,マンガン,38
50,0,反応,名詞,サ変接続,*,*,反応,36
51,0,剤,名詞,接尾,一般,*,剤,51
53,0,用いる,動詞,自立,*,*,用いる,31
54,0,酸化,名詞,サ変接続,*,*,酸化,36
55,0,反応,名詞,サ変接続,*,*,反応,36
59,0,課す,動詞,自立,*,*,課す,31
62,0,ある,動詞,自立,*,*,ある,31
64,0,酸化オスミウム,名詞,固有名詞,一般,*,酸化オスミウム,41
66,0,用いる,動詞,自立,*,*,用いる,31
67,0,ジオール,名詞,固有名詞,一般,*,ジオール,41
68,0,化,名詞,接尾,サ変接続,*,化,50
69,0,反応,名詞,サ変接続,*,*,反応,36
71,0,オゾン,名詞,一般,*,*,オゾン,38
72,0,酸化,名詞,サ変接続,*,*,酸化,36
77,0,酸化オスミウム,名詞,固有名詞,一般,*,酸化オスミウム,41
79,0,用いる,動詞,自立,*,*,用いる,31
80,0,ジオール,名詞,固有名詞,一般,*,ジオール,41
81,0,化,名詞,接尾,サ変接続,*,化,50
82,0,反応,名詞,サ変接続,*,*,反応,36
84,0,オゾン,名詞,一般,*,*,オゾン,38
85,0,酸化,名詞,サ変接続,*,*,酸化,36
89,0,課す,動詞,自立,*,*,課す,31
92,0,ある,動詞,自立,*,*,ある,31
93,0,過酸化物,名詞,固有名詞,一般,*,過酸化物,41
95,0,用いる,動詞,自立,*,*,用いる,31
96,0,酸化,名詞,サ変接続,*,*,酸化,36
97,0,反応,名詞,サ変接続,*,*,反応,36
101,0,過酸化物,名詞,固有名詞,一般,*,過酸化物,41
103,0,用いる,動詞,自立,*,*,用いる,31
104,0,酸化,名詞,サ変接続,*,*,酸化,36
105,0,反応,名詞,サ変接続,*,*,反応,36
109,0,課す,動詞,自立,*,*,課す,31
112,0,ある,動詞,自立,*,*,ある,31
113,0,ジメチルスルホキシド,名詞,固有名詞,一般,*,ジメチルスルホキシド,41
115,0,用いる,動詞,自立,*,*,用いる,31
116,0,アルコール,名詞,一般,*,*,アルコール,38
118,0,酸化,名詞,サ変接続,*,*,酸化,36
119,0,反応,名詞,サ変接続,*,*,反応,36
123,0,ジメチルスルホキシド,名詞,固有名詞,一般,*,ジメチルスルホキシド,41
125,0,用いる,動詞,自立,*,*,用いる,31
126,0,アルコール,名詞,一般,*,*,アルコール,38
128,0,酸化,名詞,サ変接続,*,*,酸化,36
129,0,反応,名詞,サ変接続,*,*,反応,36
133,0,課す,動詞,自立,*,*,課す,31
136,0,ある,動詞,自立,*,*,ある,31
139,0,酸化,名詞,サ変接続,*,*,酸化,36
140,0,反応,名詞,サ変接続,*,*,反応,36
142,0,酸化,名詞,サ変接続,*,*,酸化,36
143,0,反応,名詞,サ変接続,*,*,反応,36
145,0,まとめ,名詞,一般,*,*,まとめ,38
150,0,酸化,名詞,サ変接続,*,*,酸化,36
151,0,反応,名詞,サ変接続,*,*,反応,36
155,0,課す,動詞,自立,*,*,課す,31
158,0,ある,動詞,自立,*,*,ある,31
159,0,接触,名詞,サ変接続,*,*,接触,36
160,0,水素化,名詞,固有名詞,一般,*,水素化,41
