Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
98,0,ベクトル場,名詞,固有名詞,一般,*,ベクトル場,41
99,0,括弧,名詞,サ変接続,*,*,括弧,36
100,0,積,名詞,一般,*,*,積,38
101,0,積分,名詞,サ変接続,*,*,積分,36
102,0,曲線,名詞,一般,*,*,曲線,38
105,0,変数,名詞,一般,*,*,変数,38
106,0,変換,名詞,サ変接続,*,*,変換,36
107,0,群,名詞,接尾,一般,*,群,51
108,0,写像,名詞,サ変接続,*,*,写像,36
110,0,微分,名詞,サ変接続,*,*,微分,36
111,0,正則,名詞,一般,*,*,正則,38
112,0,値,名詞,接尾,一般,*,値,51
113,0,臨界点,名詞,固有名詞,一般,*,臨界点,41
114,0,逆関数,名詞,固有名詞,一般,*,逆関数,41
115,0,定理,名詞,一般,*,*,定理,38
116,0,サードの定理,名詞,固有名詞,一般,*,サードの定理,41
117,0,はめ込み,名詞,一般,*,*,はめ込み,38
119,0,埋め込み,動詞,自立,*,*,埋め込む,31
120,0,ホイットニー,名詞,固有名詞,人名,名,ホイットニー,44
122,0,埋め込み,動詞,自立,*,*,埋め込む,31
123,0,定理,名詞,一般,*,*,定理,38
124,0,1の分割,名詞,固有名詞,一般,*,1の分割,41
125,0,ベクトル場,名詞,固有名詞,一般,*,ベクトル場,41
126,0,括弧,名詞,サ変接続,*,*,括弧,36
127,0,積,名詞,一般,*,*,積,38
128,0,積分,名詞,サ変接続,*,*,積分,36
129,0,曲線,名詞,一般,*,*,曲線,38
132,0,変数,名詞,一般,*,*,変数,38
133,0,変換,名詞,サ変接続,*,*,変換,36
134,0,群,名詞,接尾,一般,*,群,51
0,0,写像,名詞,サ変接続,*,*,写像,36
2,0,微分,名詞,サ変接続,*,*,微分,36
3,0,正則,名詞,一般,*,*,正則,38
4,0,値,名詞,接尾,一般,*,値,51
5,0,臨界点,名詞,固有名詞,一般,*,臨界点,41
6,0,逆関数,名詞,固有名詞,一般,*,逆関数,41
7,0,定理,名詞,一般,*,*,定理,38
8,0,サードの定理,名詞,固有名詞,一般,*,サードの定理,41
9,0,はめ込み,名詞,一般,*,*,はめ込み,38
11,0,埋め込み,動詞,自立,*,*,埋め込む,31
12,0,ホイットニー,名詞,固有名詞,人名,名,ホイットニー,44
14,0,埋め込み,動詞,自立,*,*,埋め込む,31
15,0,定理,名詞,一般,*,*,定理,38
16,0,1の分割,名詞,固有名詞,一般,*,1の分割,41
17,0,ベクトル場,名詞,固有名詞,一般,*,ベクトル場,41
18,0,括弧,名詞,サ変接続,*,*,括弧,36
19,0,積,名詞,一般,*,*,積,38
20,0,積分,名詞,サ変接続,*,*,積分,36
21,0,曲線,名詞,一般,*,*,曲線,38
24,0,変数,名詞,一般,*,*,変数,38
25,0,変換,名詞,サ変接続,*,*,変換,36
26,0,群,名詞,接尾,一般,*,群,51
27,0,写像,名詞,サ変接続,*,*,写像,36
29,0,微分,名詞,サ変接続,*,*,微分,36
30,0,正則,名詞,一般,*,*,正則,38
31,0,値,名詞,接尾,一般,*,値,51
32,0,臨界点,名詞,固有名詞,一般,*,臨界点,41
33,0,逆関数,名詞,固有名詞,一般,*,逆関数,41
34,0,定理,名詞,一般,*,*,定理,38
35,0,サードの定理,名詞,固有名詞,一般,*,サードの定理,41
36,0,はめ込み,名詞,一般,*,*,はめ込み,38
38,0,埋め込み,動詞,自立,*,*,埋め込む,31
39,0,ホイットニー,名詞,固有名詞,人名,名,ホイットニー,44
41,0,埋め込み,動詞,自立,*,*,埋め込む,31
42,0,定理,名詞,一般,*,*,定理,38
43,0,1の分割,名詞,固有名詞,一般,*,1の分割,41
44,0,ベクトル場,名詞,固有名詞,一般,*,ベクトル場,41
45,0,括弧,名詞,サ変接続,*,*,括弧,36
46,0,積,名詞,一般,*,*,積,38
47,0,積分,名詞,サ変接続,*,*,積分,36
48,0,曲線,名詞,一般,*,*,曲線,38
51,0,変数,名詞,一般,*,*,変数,38
52,0,変換,名詞,サ変接続,*,*,変換,36
53,0,群,名詞,接尾,一般,*,群,51
54,0,写像,名詞,サ変接続,*,*,写像,36
56,0,微分,名詞,サ変接続,*,*,微分,36
57,0,正則,名詞,一般,*,*,正則,38
58,0,値,名詞,接尾,一般,*,値,51
59,0,臨界点,名詞,固有名詞,一般,*,臨界点,41
60,0,逆関数,名詞,固有名詞,一般,*,逆関数,41
61,0,定理,名詞,一般,*,*,定理,38
62,0,サードの定理,名詞,固有名詞,一般,*,サードの定理,41
63,0,はめ込み,名詞,一般,*,*,はめ込み,38
65,0,埋め込み,動詞,自立,*,*,埋め込む,31
66,0,ホイットニー,名詞,固有名詞,人名,名,ホイットニー,44
68,0,埋め込み,動詞,自立,*,*,埋め込む,31
69,0,定理,名詞,一般,*,*,定理,38
70,0,1の分割,名詞,固有名詞,一般,*,1の分割,41
71,0,ベクトル場,名詞,固有名詞,一般,*,ベクトル場,41
72,0,括弧,名詞,サ変接続,*,*,括弧,36
73,0,積,名詞,一般,*,*,積,38
74,0,積分,名詞,サ変接続,*,*,積分,36
75,0,曲線,名詞,一般,*,*,曲線,38
78,0,変数,名詞,一般,*,*,変数,38
79,0,変換,名詞,サ変接続,*,*,変換,36
80,0,群,名詞,接尾,一般,*,群,51
81,0,写像,名詞,サ変接続,*,*,写像,36
83,0,微分,名詞,サ変接続,*,*,微分,36
84,0,正則,名詞,一般,*,*,正則,38
85,0,値,名詞,接尾,一般,*,値,51
86,0,臨界点,名詞,固有名詞,一般,*,臨界点,41
87,0,逆関数,名詞,固有名詞,一般,*,逆関数,41
88,0,定理,名詞,一般,*,*,定理,38
89,0,サードの定理,名詞,固有名詞,一般,*,サードの定理,41
90,0,はめ込み,名詞,一般,*,*,はめ込み,38
92,0,埋め込み,動詞,自立,*,*,埋め込む,31
93,0,ホイットニー,名詞,固有名詞,人名,名,ホイットニー,44
95,0,埋め込み,動詞,自立,*,*,埋め込む,31
96,0,定理,名詞,一般,*,*,定理,38
97,0,1の分割,名詞,固有名詞,一般,*,1の分割,41
98,0,ベクトル場,名詞,固有名詞,一般,*,ベクトル場,41
99,0,括弧,名詞,サ変接続,*,*,括弧,36
100,0,積,名詞,一般,*,*,積,38
101,0,積分,名詞,サ変接続,*,*,積分,36
102,0,曲線,名詞,一般,*,*,曲線,38
105,0,変数,名詞,一般,*,*,変数,38
106,0,変換,名詞,サ変接続,*,*,変換,36
107,0,群,名詞,接尾,一般,*,群,51
108,0,写像,名詞,サ変接続,*,*,写像,36
110,0,微分,名詞,サ変接続,*,*,微分,36
111,0,正則,名詞,一般,*,*,正則,38
112,0,値,名詞,接尾,一般,*,値,51
113,0,臨界点,名詞,固有名詞,一般,*,臨界点,41
114,0,逆関数,名詞,固有名詞,一般,*,逆関数,41
115,0,定理,名詞,一般,*,*,定理,38
116,0,サードの定理,名詞,固有名詞,一般,*,サードの定理,41
117,0,はめ込み,名詞,一般,*,*,はめ込み,38
119,0,埋め込み,動詞,自立,*,*,埋め込む,31
120,0,ホイットニー,名詞,固有名詞,人名,名,ホイットニー,44
122,0,埋め込み,動詞,自立,*,*,埋め込む,31
123,0,定理,名詞,一般,*,*,定理,38
124,0,1の分割,名詞,固有名詞,一般,*,1の分割,41
125,0,ベクトル場,名詞,固有名詞,一般,*,ベクトル場,41
126,0,括弧,名詞,サ変接続,*,*,括弧,36
127,0,積,名詞,一般,*,*,積,38
128,0,積分,名詞,サ変接続,*,*,積分,36
129,0,曲線,名詞,一般,*,*,曲線,38
132,0,変数,名詞,一般,*,*,変数,38
133,0,変換,名詞,サ変接続,*,*,変換,36
134,0,群,名詞,接尾,一般,*,群,51
0,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
3,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
5,0,論,名詞,一般,*,*,論,38
6,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
9,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
11,0,論,名詞,一般,*,*,論,38
12,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
15,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
17,0,論,名詞,一般,*,*,論,38
18,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
0,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
3,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
5,0,論,名詞,一般,*,*,論,38
6,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
9,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
11,0,論,名詞,一般,*,*,論,38
12,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
15,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
17,0,論,名詞,一般,*,*,論,38
18,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
0,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
3,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
5,0,論,名詞,一般,*,*,論,38
6,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
9,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
11,0,論,名詞,一般,*,*,論,38
12,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
15,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
17,0,論,名詞,一般,*,*,論,38
18,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
0,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
3,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
5,0,論,名詞,一般,*,*,論,38
6,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
9,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
11,0,論,名詞,一般,*,*,論,38
12,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
15,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
17,0,論,名詞,一般,*,*,論,38
18,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
0,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
3,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
5,0,論,名詞,一般,*,*,論,38
6,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
9,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
11,0,論,名詞,一般,*,*,論,38
12,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
15,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
17,0,論,名詞,一般,*,*,論,38
18,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
0,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
0,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
3,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
5,0,論,名詞,一般,*,*,論,38
6,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
9,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
11,0,論,名詞,一般,*,*,論,38
12,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
15,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
17,0,論,名詞,一般,*,*,論,38
18,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
0,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
0,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
0,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
0,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
0,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
